indice_base;dia_teste;classe_real;probabilidade_impulso;dna_score;alerta_dna;classe_prevista
694;2026-07-13;0;0,044282359307359305;4,428235930735931;False;0
695;2026-07-13;0;0,015015621633268694;1,5015621633268694;False;0
696;2026-07-13;0;0,05153223084105437;5,153223084105437;False;0
697;2026-07-13;0;0,009200603318250376;0,9200603318250375;False;0
698;2026-07-13;0;0,005378621378621378;0,5378621378621379;False;0
699;2026-07-13;0;0,027912698412698413;2,791269841269841;False;0
700;2026-07-13;0;0,011641233766233768;1,1641233766233767;False;0
701;2026-07-13;0;0,06306411839794193;6,306411839794193;False;0
702;2026-07-13;0;0,011189407814407816;1,1189407814407815;False;0
703;2026-07-13;0;0,016857792207792207;1,6857792207792206;False;0
704;2026-07-13;0;0,07000148761913468;7,000148761913468;False;0
705;2026-07-13;0;0,07869449366423048;7,869449366423048;False;0
706;2026-07-13;0;0,0;0,0;False;0
707;2026-07-13;0;0,0;0,0;False;0
708;2026-07-13;0;0,0;0,0;False;0
709;2026-07-13;0;0,0;0,0;False;0
710;2026-07-13;0;0,0;0,0;False;0
711;2026-07-13;0;0,0;0,0;False;0
712;2026-07-13;0;0,0;0,0;False;0
713;2026-07-13;0;0,0;0,0;False;0
714;2026-07-13;0;0,0;0,0;False;0
715;2026-07-13;0;0,0;0,0;False;0
716;2026-07-13;0;0,23682711783687005;23,682711783687004;False;0
717;2026-07-13;0;0,10335988859421147;10,335988859421146;False;0
718;2026-07-13;0;0,3468003389592863;34,68003389592863;False;0
719;2026-07-13;0;0,15954974101904842;15,954974101904842;False;0
720;2026-07-13;0;0,1647704874840788;16,47704874840788;False;0
721;2026-07-13;0;0,09665077558606969;9,665077558606969;False;0
722;2026-07-13;0;0,095624594651994;9,5624594651994;False;0
723;2026-07-13;0;0,06039212396290195;6,039212396290195;False;0
724;2026-07-13;0;0,033006819324466384;3,3006819324466385;False;0
725;2026-07-13;0;0,07102580410571521;7,102580410571521;False;0
726;2026-07-13;0;0,07122218631042157;7,122218631042157;False;0
727;2026-07-13;0;0,1300701997076997;13,00701997076997;False;0
728;2026-07-13;0;0,1572138175635853;15,721381756358529;False;0
729;2026-07-13;0;0,0945665573642044;9,45665573642044;False;0
730;2026-07-13;0;0,10393120506944034;10,393120506944035;False;0
731;2026-07-13;0;0,1009082686806371;10,09082686806371;False;0
732;2026-07-13;0;0,14504991952491952;14,504991952491952;False;0
733;2026-07-13;0;0,12014894440354963;12,014894440354963;False;0
734;2026-07-13;0;0,1713154450554605;17,13154450554605;False;0
735;2026-07-13;0;0,18931479871693488;18,931479871693487;False;0
736;2026-07-13;0;0,12477710851240263;12,477710851240262;False;0
737;2026-07-13;0;0,16343725277989984;16,343725277989986;False;0
738;2026-07-13;0;0,40926792627020964;40,926792627020966;False;0
739;2026-07-13;0;0,20853675330816263;20,853675330816262;False;0
740;2026-07-13;0;0,2585348909276237;25,853489092762374;False;0
741;2026-07-13;0;0,47251872974675674;47,25187297467567;False;0
742;2026-07-13;0;0,36368196935533303;36,368196935533305;False;0
743;2026-07-13;0;0,636014249380202;63,6014249380202;False;1
744;2026-07-13;0;0,4564931749037052;45,64931749037052;False;0
745;2026-07-13;0;0,23801633016106696;23,801633016106695;False;0
746;2026-07-13;0;0,5989982580027472;59,89982580027472;False;1
747;2026-07-13;0;0,28580830509359917;28,580830509359917;False;0
748;2026-07-13;0;0,37185415911557174;37,18541591155717;False;0
749;2026-07-13;0;0,23709392233652685;23,709392233652686;False;0
750;2026-07-13;0;0,3537405287016045;35,37405287016045;False;0
751;2026-07-13;0;0,51135697707019;51,135697707019;False;1
752;2026-07-13;0;0,45302475365950445;45,30247536595044;False;0
753;2026-07-13;0;0,19430827342592044;19,430827342592043;False;0
754;2026-07-13;0;0,25321296236443286;25,321296236443285;False;0
755;2026-07-13;0;0,3348075097531753;33,480750975317534;False;0
756;2026-07-13;0;0,21404561745444095;21,404561745444095;False;0
757;2026-07-13;0;0,302644110538418;30,2644110538418;False;0
758;2026-07-13;0;0,17095828851317238;17,095828851317236;False;0
759;2026-07-13;0;0,5158040587705693;51,58040587705693;False;1
760;2026-07-13;0;0,23858708094737502;23,8587080947375;False;0
761;2026-07-13;0;0,2067919649681299;20,67919649681299;False;0
762;2026-07-13;0;0,612204283441839;61,220428344183894;False;1
763;2026-07-13;0;0,30885621943416064;30,885621943416062;False;0
764;2026-07-13;0;0,13810544562077068;13,810544562077068;False;0
765;2026-07-13;0;0,2599915512591983;25,99915512591983;False;0
766;2026-07-13;0;0,05153278892802512;5,153278892802512;False;0
767;2026-07-13;0;0,10512067964715023;10,512067964715023;False;0
768;2026-07-14;0;0,18366726149880244;18,366726149880243;False;0
769;2026-07-14;0;0,04875178898526737;4,8751788985267375;False;0
770;2026-07-14;0;0,04293271631942886;4,293271631942886;False;0
771;2026-07-14;0;0,009875;0,9875;False;0
772;2026-07-14;0;0,027438412698412698;2,74384126984127;False;0
773;2026-07-14;0;0,09609458151052916;9,609458151052916;False;0
774;2026-07-14;0;0,11580777401133434;11,580777401133433;False;0
775;2026-07-14;0;0,04352698412698413;4,3526984126984125;False;0
776;2026-07-14;0;0,18216992238226234;18,216992238226233;False;0
777;2026-07-14;0;0,11852519427792818;11,852519427792817;False;0
778;2026-07-14;0;0,18423583615076983;18,423583615076982;False;0
779;2026-07-14;0;0,054513698933916326;5,451369893391632;False;0
780;2026-07-14;0;0,030405935490575717;3,0405935490575717;False;0
781;2026-07-14;0;0,08839478951000689;8,839478951000688;False;0
782;2026-07-14;0;0,029779761904761906;2,9779761904761908;False;0
783;2026-07-14;0;0,04455595238095238;4,4555952380952375;False;0
784;2026-07-14;0;0,048190791114630115;4,819079111463012;False;0
785;2026-07-14;0;0,03838661482136715;3,8386614821367147;False;0
786;2026-07-14;0;0,0099;0,9900000000000001;False;0
787;2026-07-14;0;0,01712809523809524;1,712809523809524;False;0
788;2026-07-14;0;0,013175000000000001;1,3175000000000001;False;0
789;2026-07-14;0;0,021557677616501146;2,1557677616501145;False;0
790;2026-07-14;0;0,011417857142857145;1,1417857142857144;False;0
791;2026-07-14;0;0,0038399999999999997;0,38399999999999995;False;0
792;2026-07-14;0;0,040764655337896645;4,076465533789665;False;0
793;2026-07-14;0;0,05869831994201189;5,869831994201189;False;0
794;2026-07-14;0;0,027565384615384617;2,7565384615384616;False;0
795;2026-07-14;0;0,034990667871859824;3,499066787185982;False;0
796;2026-07-14;0;0,050624471237770474;5,062447123777048;False;0
797;2026-07-14;0;0,01940140056022409;1,940140056022409;False;0
