filtro;tp;sl;protecao_pct;trades;gains;losses;protegidos;timeouts;fim_dados;positivos;negativos;taxa_gain_pct;taxa_sem_loss_pct;resultado_total;media_trade;profit_factor;drawdown_max;maior_seq_losses;tempo_medio_s;sinais_ignorados_posicao_aberta
AJUSTE_GE_8;1600;1200;SEM_PROTECAO;189;92;88;0;9;0;96;93;48,67724867724868;53,439153439153436;42900,0;226,984126984127;1,3963048498845265;-8950,0;5;1433,6243386243386;16
TODAS;1200;1200;0.8;299;161;125;3;10;0;165;131;53,84615384615385;58,19397993311037;41500,0;138,79598662207357;1,2709761671563826;-17675,0;9;1093,7926421404682;25
TODAS;1200;1200;SEM_PROTECAO;298;162;126;0;10;0;166;132;54,36241610738255;57,718120805369125;41500,0;139,26174496644296;1,2688694525429218;-17675,0;9;1099,4463087248323;26
AJUSTE_GE_8;1400;1200;0.5;194;98;80;9;7;0;101;84;50,51546391752577;58,76288659793814;40825,0;210,43814432989691;1,417540271030427;-7750,0;4;1389,0360824742268;11
AJUSTE_EQ_12;1600;1200;SEM_PROTECAO;134;70;58;0;6;0;71;63;52,23880597014925;56,71641791044776;40800,0;304,4776119402985;1,5647058823529412;-8750,0;5;498,8059701492537;7
AJUSTE_EQ_12;1400;1200;0.5;137;74;51;8;4;0;74;55;54,01459854014598;62,77372262773723;40625,0;296,53284671532845;1,6450972608177847;-6800,0;4;449,1678832116788;4
AJUSTE_EQ_12;1800;1200;0.8;131;62;57;7;5;0;62;62;47,32824427480916;56,48854961832061;40550,0;309,5419847328244;1,5707248416608022;-10550,0;4;507,8320610687023;10
AJUSTE_EQ_12;1800;1200;SEM_PROTECAO;131;64;61;0;6;0;65;66;48,85496183206107;53,43511450381679;40400,0;308,39694656488547;1,5326301911667766;-12950,0;7;528,2671755725191;10
TODAS;1400;1500;0.5;296;155;117;12;12;0;161;123;52,36486486486486;60,472972972972975;40300,0;136,14864864864865;1,2238888888888888;-20800,0;9;1103,043918918919;28
AJUSTE_GE_8;2000;1200;SEM_PROTECAO;180;76;95;0;9;0;80;100;42,22222222222222;47,22222222222222;40000,0;222,22222222222223;1,342906129447064;-11575,0;6;1544,2888888888888;25
AJUSTE_GE_8;1400;1200;0.6;194;98;80;8;8;0;101;85;50,51546391752577;58,76288659793814;39950,0;205,9278350515464;1,4049670552458184;-7750,0;4;1389,0360824742268;11
AJUSTE_EQ_12;1400;1200;0.6;137;74;51;7;5;0;74;56;54,01459854014598;62,77372262773723;39750,0;290,1459854014599;1,6225528582615505;-6800,0;4;449,1678832116788;4
AJUSTE_EQ_12;2000;1200;SEM_PROTECAO;127;59;63;0;5;0;59;68;46,45669291338583;50,39370078740158;39750,0;312,99212598425197;1,5079872204472844;-13950,0;7;540,8740157480315;14
TODAS;1400;1500;0.6;296;155;117;11;13;0;161;124;52,36486486486486;60,472972972972975;39425,0;133,19256756756758;1,217968210089841;-21675,0;9;1103,043918918919;28
AJUSTE_EQ_12;1600;1500;0.5;137;72;50;11;4;0;72;54;52,55474452554745;63,503649635036496;38425,0;280,4744525547445;1,5004884402474763;-7975,0;4;464,1021897810219;4
AJUSTE_EQ_12;2000;1500;0.5;129;58;50;16;5;0;58;55;44,96124031007752;61,24031007751938;38350,0;297,28682170542635;1,493882807469414;-12050,0;4;519,5968992248062;12
AJUSTE_GE_8;1400;1200;0.7;192;97;81;6;8;0;100;86;50,520833333333336;57,8125;37350,0;194,53125;1,3740610916374563;-8600,0;5;1406,3333333333333;13
AJUSTE_GE_8;2000;1500;0.5;184;75;76;22;11;0;80;82;40,76086956521739;58,69565217391305;37325,0;202,85326086956522;1,3166489925768823;-13875,0;5;1514,1467391304348;21
AJUSTE_EQ_12;1400;1200;0.7;135;73;52;5;5;0;73;57;54,074074074074076;61,48148148148148;37150,0;275,18518518518516;1,5710991544965411;-6800,0;4;459,84444444444443;6
TODAS;2000;1800;0.5;270;117;109;27;17;0;125;118;43,333333333333336;59,629629629629626;36800,0;136,2962962962963;1,1790754257907543;-33000,0;5;1233,4333333333334;54
TODAS;1400;1500;0.7;294;154;118;9;13;0;160;125;52,38095238095238;59,863945578231295;36525,0;124,23469387755102;1,2002741603838245;-21675,0;9;1112,3945578231292;30
TODAS;1400;1500;0.8;293;155;119;6;13;0;161;126;52,901023890784984;59,38566552901024;36425,0;124,31740614334471;1,1980965329707682;-21675,0;9;1117,2389078498293;31
AJUSTE_GE_8;1400;1200;0.8;192;97;82;5;8;0;100;87;50,520833333333336;57,291666666666664;36150,0;188,28125;1,3577436912419594;-8950,0;5;1410,1666666666667;13
AJUSTE_EQ_12;1400;1200;0.8;135;73;53;4;5;0;73;58;54,074074074074076;60,74074074074074;35950,0;266,2962962962963;1,5426415094339623;-6800,0;4;465,2962962962963;6
AJUSTE_EQ_12;1800;1500;0.5;134;63;50;16;5;0;63;55;47,014925373134325;62,6865671641791;35750,0;266,7910447761194;1,4603992273019961;-12050,0;4;490,74626865671644;7
AJUSTE_GE_8;1600;1500;0.5;193;93;76;15;9;0;97;81;48,18652849740933;60,62176165803109;35250,0;182,6424870466321;1,3012820512820513;-10250,0;4;1395,8808290155441;12
TODAS;2000;1800;0.6;269;118;111;23;17;0;126;120;43,86617100371747;58,7360594795539;35200,0;130,8550185873606;1,1683405069344812;-33000,0;5;1241,182156133829;55
AJUSTE_GE_8;1800;1500;0.5;189;82;76;20;11;0;87;82;43,386243386243386;59,78835978835979;34925,0;184,7883597883598;1,296288441145281;-14475,0;4;1461,6031746031747;16
AJUSTE_EQ_12;1600;1500;0.6;135;71;51;8;5;0;71;56;52,592592592592595;62,22222222222222;34450,0;255,1851851851852;1,4352495262160454;-8850,0;4;474,9185185185185;6
TODAS;2000;1800;0.7;268;119;113;19;17;0;127;122;44,40298507462686;57,83582089552239;33600,0;125,3731343283582;1,157968970380818;-33000,0;5;1247,4626865671642;56
TODAS;1400;1500;SEM_PROTECAO;292;156;123;0;13;0;162;130;53,42465753424658;57,87671232876713;31825,0;108,98972602739725;1,1676102699144173;-21675,0;9;1124,6575342465753;32
AJUSTE_EQ_12;1600;1500;0.7;135;71;53;6;5;0;71;58;52,592592592592595;60,74074074074074;31450,0;232,96296296296296;1,3828362751065124;-9450,0;4;481,9185185185185;6
AJUSTE_GE_8;1600;1500;0.6;191;92;77;12;10;0;96;83;48,167539267015705;59,68586387434555;31275,0;163,7434554973822;1,2619895287958116;-11500,0;5;1413,282722513089;14
AJUSTE_EQ_12;1800;1500;0.6;132;63;53;11;5;0;63;58;47,72727272727273;59,84848484848485;31250,0;236,74242424242425;1,3804017041996348;-12050,0;4;503,50757575757575;9
AJUSTE_EQ_12;2000;1500;0.7;128;58;55;10;5;0;58;60;45,3125;57,03125;30850,0;241,015625;1,3623018203170876;-12050,0;4;537,90625;13
AJUSTE_GE_8;1800;1500;0.6;187;82;79;15;11;0;87;85;43,850267379679146;57,75401069518717;30425,0;162,70053475935828;1,2486210418794688;-15925,0;5;1480,9946524064171;18
AJUSTE_EQ_12;2000;1500;0.6;128;57;54;12;5;0;57;59;44,53125;57,8125;30350,0;237,109375;1,3628212791392709;-12050,0;4;534,984375;13
AJUSTE_GE_8;1400;1200;SEM_PROTECAO;190;96;86;0;8;0;99;91;50,526315789473685;54,73684210526316;29950,0;157,6315789473684;1,2829475673122344;-10150,0;5;1427,3473684210526;15
AJUSTE_GE_8;2000;1500;0.7;182;75;81;15;11;0;80;87;41,20879120879121;55,494505494505496;29825,0;163,87362637362637;1,2378863409770688;-13050,0;5;1540,2747252747254;23
AJUSTE_EQ_12;1400;1200;SEM_PROTECAO;134;72;57;0;5;0;72;62;53,73134328358209;57,46268656716418;29750,0;222,01492537313433;1,4187192118226601;-8000,0;4;472,8059701492537;7
