variavel;media_movimentos;media_lateral;diferenca;z_vs_lateral;z_absoluto;direcao_comum;movimentos_acima_mediana_lateral;movimentos_abaixo_mediana_lateral;consistencia_5_movimentos;percentil_lateral_medio;percentil_lateral_min;percentil_lateral_max
pre30s_saldo_agressor;-13,0;-0,08050847457627118;-12,919491525423728;-0,7047561885198217;0,7047561885198217;ABAIXO_LATERAL;1;4;0,8;0,25677966101694916;0,038135593220338986;0,6949152542372882
pre10s_spread_max;2,0;1,7728260869565218;0,22717391304347823;0,7004554818390936;0,7004554818390936;ACIMA_LATERAL;4;1;0,8;0,814782608695652;0,30869565217391304;0,9695652173913043
pre15s_last_size_max;6,4;2,272340425531915;4,127659574468085;0,6953567601148322;0,6953567601148322;ACIMA_LATERAL;4;0;0,8;0,8723404255319147;0,6553191489361702;0,9914893617021276
pre15s_spread_max;2,05;1,8319148936170213;0,2180851063829785;0,6406062325141915;0,6406062325141915;ACIMA_LATERAL;4;0;0,8;0,8672340425531916;0,6510638297872341;0,9574468085106383
pre60s_spread_medio;1,2644723089932302;1,345522071599621;-0,08104976260639085;-0,6396555972650982;0,6396555972650982;ABAIXO_LATERAL;1;4;0,8;0,35847457627118645;0,0;0,9661016949152542
inicio10s_saldo_agressor;-5,4;0,02608695652173913;-5,42608695652174;-0,6374748838697949;0,6374748838697949;ACIMA_LATERAL;4;1;0,8;0,7460869565217392;0,0;0,9652173913043478
pre60s_duracao_s;58,43979999999999;55,90472033898305;2,535079661016944;0,5986855199940104;0,5986855199940104;ACIMA_LATERAL;4;1;0,8;0,8177966101694916;0,2076271186440678;0,9957627118644068
pre10s_imbalance_min;0,3365714285714286;0,46742753623188416;-0,13085610766045558;-0,5949410148726507;0,5949410148726507;ABAIXO_LATERAL;1;4;0,8;0,2704347826086956;0,0;1,0
inicio10s_spread_medio;1,2628688316803474;1,360295532699464;-0,09742670101911655;-0,5665517329167303;0,5665517329167303;ABAIXO_LATERAL;1;4;0,8;0,3234782608695652;0,013043478260869565;0,9478260869565217
pre30s_duracao_s;27,6462;24,968326271186438;2,6778737288135623;0,5566259025010858;0,5566259025010858;ACIMA_LATERAL;4;1;0,8;0,728813559322034;0,1906779661016949;0,961864406779661
pre30s_spread_medio;1,2705888072997857;1,3551771852298964;-0,08458837793011065;-0,5536249479730302;0,5536249479730302;ABAIXO_LATERAL;1;4;0,8;0,31610169491525425;0,01694915254237288;0,9576271186440678
pre15s_razao_bid_ask;0,777782303627141;1,0832454035871122;-0,30546309995997123;-0,5533409424737362;0,5533409424737362;ABAIXO_LATERAL;1;4;0,8;0,26468085106382977;0,0;0,6170212765957447
inicio30s_duracao_s;28,2072;25,5446186440678;2,6625813559322005;0,5484235366992012;0,5484235366992012;ACIMA_LATERAL;4;1;0,8;0,7279661016949153;0,2923728813559322;1,0
pre10s_last_size_medio;1,1528455345137079;1,061463609678274;0,09138192483543395;0,5159706834195541;0,5159706834195541;ACIMA_LATERAL;4;0;0,8;0,8234782608695651;0,7391304347826086;0,9695652173913043
inicio60s_duracao_s;58,0428;55,914834745762704;2,1279652542372958;0,5019594540905296;0,5019594540905296;ACIMA_LATERAL;4;1;0,8;0,6864406779661018;0,2838983050847458;1,0
pre30s_last_size_max;6,4;3,139830508474576;3,2601694915254242;0,491764137206239;0,491764137206239;ACIMA_LATERAL;4;1;0,8;0,7923728813559322;0,4703389830508475;0,9830508474576272
pre30s_preco_var_pts;-205,0;32,94491525423729;-237,9449152542373;-0,48392498600041756;0,48392498600041756;ABAIXO_LATERAL;1;4;0,8;0,3694915254237288;0,025423728813559324;0,9194915254237288
pre15s_last_size_medio;1,1587507140746576;1,0712377278290512;0,08751298624560633;0,4839068475802022;0,4839068475802022;ACIMA_LATERAL;4;0;0,8;0,7659574468085106;0,6553191489361702;0,9914893617021276
pre10s_duracao_s;7,315600000000001;6,034352173913042;1,2812478260869584;0,44052309021865055;0,44052309021865055;ACIMA_LATERAL;4;1;0,8;0,6817391304347826;0,12608695652173912;1,0
pre60s_spread_max;2,3;2,110169491525424;0,18983050847457594;0,43527981453905235;0,43527981453905235;ACIMA_LATERAL;4;1;0,8;0,764406779661017;0,3220338983050847;0,9364406779661016
pre15s_spread_medio;1,2828200778095145;1,3600235714369149;-0,07720349362740042;-0,4314468982569206;0,4314468982569206;ABAIXO_LATERAL;1;4;0,8;0,3565957446808511;0,05531914893617021;0,9404255319148936
inicio5s_razao_bid_ask;0,7866689008135329;1,1171959360666395;-0,33052703525310656;-0,41166144538234023;0,41166144538234023;ABAIXO_LATERAL;1;4;0,8;0,29953051643192485;0,0;0,596244131455399
pre60s_razao_agressor_cv;0,8726069300554926;1,1587369122242963;-0,2861299821688037;-0,3936604859965569;0,3936604859965569;ABAIXO_LATERAL;1;4;0,8;0,39322033898305087;0,2330508474576271;0,538135593220339
inicio60s_razao_bid_ask;0,8343858660781368;1,1388482967523699;-0,30446243067423306;-0,3718004233414753;0,3718004233414753;ABAIXO_LATERAL;1;4;0,8;0,23728813559322032;0,00423728813559322;0,5677966101694916
inicio30s_delta_agressor_medio;0,10864327174198785;0,010980562468645066;0,09766270927334278;0,3553363747992222;0,3553363747992222;ACIMA_LATERAL;4;1;0,8;0,6279661016949152;0,3474576271186441;0,9194915254237288
inicio60s_last_size_max;6,4;4,0974576271186445;2,302542372881356;0,33795760921461604;0,33795760921461604;ACIMA_LATERAL;4;1;0,8;0,8245762711864406;0,4830508474576271;0,9491525423728814
inicio10s_imbalance_medio;1,0526368433459619;1,209735965248387;-0,15709912190242514;-0,32877348336689094;0,32877348336689094;ABAIXO_LATERAL;1;4;0,8;0,36782608695652175;0,19130434782608696;0,5478260869565217
inicio60s_last_size_medio;1,0999359962208188;1,068076420931513;0,03185957528930583;0,29432730295313264;0,29432730295313264;ACIMA_LATERAL;4;1;0,8;0,6813559322033897;0,4449152542372881;0,9576271186440678
