grupo;feature;qtd_movimentos;qtd_laterais;media_movimentos;mediana_movimentos;media_lateral;mediana_lateral;diferenca;cohen_d;cohen_d_abs;ks_stat;ks_pvalue;mann_whitney_pvalue;direcao;dna_forte_estatistico
ALTA;acel_spread_60_30_para_30_10_spread_medio_ratio;89;464;1,0109586984107506;0,9978494623655914;1,0120251446675126;1,001353944023117;-0,0010664462567619992;-0,009106209560559629;0,009106209560559629;0,09562669507942659;0,46925402788260745;0,9875765343047489;MENOR_NO_IMPULSO;False
ALTA;acel_spread_30_10_para_10_0_spread_pct_acima_2_ratio;89;428;0,5427196472237971;0,0;0,5302803665286203;0,0;0,012439280695176747;0,005512995707967133;0,005512995707967133;0,15950855822744936;0,04131157131876254;0,0027705075852833107;MAIOR_NO_IMPULSO;False
ALTA;acel_spread_60_para_15_spread_pct_acima_1_5_ratio;89;458;1,0303660707093005;0,9538784067085955;1,028717270614424;0,9991939198526025;0,0016488000948764459;0,003517899044930748;0,003517899044930748;0,17550659928364654;0,017487175691057746;0,11455296461702631;MAIOR_NO_IMPULSO;False
QUEDA;pre_120_60s_spread_pct_acima_1_5;84;471;0,2680635893218639;0,15818280025707995;0,5279546395544307;0,5355805243445693;-0,25989105023256676;-1,4420056733944846;1,4420056733944846;0,6067637245981194;2,399108755939259e-25;9,511307537697435e-15;MENOR_NO_IMPULSO;True
QUEDA;pre_60_0s_spread_pct_acima_1_5;86;471;0,274961448946919;0,15096759288265146;0,5283988038446902;0,5365853658536586;-0,2534373548977712;-1,385593339740963;1,385593339740963;0,5664346022811435;2,68581146368745e-22;5,687057162839334e-15;MENOR_NO_IMPULSO;True
QUEDA;pre_30_10s_spread_pct_acima_1_5;84;464;0,24919159917526768;0,1152062223490795;0,5423485453217057;0,563301282051282;-0,29315694614643806;-1,3533489035236164;1,3533489035236164;0,5042077175697866;4,048725802475808e-17;6,954943641009965e-18;MENOR_NO_IMPULSO;True
QUEDA;pre_30_10s_spread_mediana;84;464;1,1398809523809523;1,25;1,4194504310344827;1,5;-0,2795694786535303;-1,3167920026710187;1,3167920026710187;0,4276477832512315;2,9296117857127582e-12;6,064439190827935e-16;MENOR_NO_IMPULSO;True
QUEDA;pre_30_10s_spread_medio;84;464;1,1082625092037244;1,1236858379715522;1,3566409183944066;1,35;-0,24837840919068221;-1,3128848642065036;1,3128848642065036;0,4712643678160919;6,351964055093646e-15;1,91516566902562e-14;MENOR_NO_IMPULSO;True
QUEDA;pre_60_30s_spread_pct_acima_1_5;84;470;0,2651875975655943;0,13132183908045977;0,5328085949206919;0,543560606060606;-0,2676209973550976;-1,3108087346091182;1,3108087346091182;0,567933130699088;5,262105448881517e-22;5,18301828796253e-15;MENOR_NO_IMPULSO;True
QUEDA;pre_30_0s_spread_pct_acima_1_5;86;470;0,2686242668393394;0,15249479497199864;0,53303287527113;0,543560606060606;-0,2644086084317906;-1,3077517759738473;1,3077517759738473;0,5250865907966353;4,985244040473722e-19;1,1978472132477226e-15;MENOR_NO_IMPULSO;True
QUEDA;pre_120_60s_spread_q90;84;471;1,425297619047619;1,5;1,7057324840764334;1,75;-0,28043486502881443;-1,3044703100384705;1,3044703100384705;0,4234152259629966;4,76990171705207e-12;7,861864192748841e-14;MENOR_NO_IMPULSO;True
