regra_bloqueio,componentes,trades_bloqueados,pct_trades_bloqueados,losses_evitados,gains_perdidos,saldo_eventos,pontos_dos_trades_bloqueados,trades_restantes,resultado_novo,melhoria_resultado,pf_novo,melhoria_pf,expectancia_nova,winrate_novo,dd_novo,reducao_dd,score_rank
13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__slope >= -0.0024077951,1,137,69.1919191919192,50,87,-37,15440.000000007421,61,-8079.999999997381,-15440.000000007421,0.6843750000001023,-0.4278201219512703,-132.45901639339968,47.540983606557376,9759.999999997672,8399.999999999272,-21190.692073178438
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first >= 0.88386897,1,132,66.66666666666666,49,83,-34,14320.000000006985,66,-6959.999999996944,-14320.000000006985,0.7363636363637521,-0.3758314855876205,-105.45454545449915,50.0,15039.99999999869,3119.9999999982538,-21307.49889136017
13a_features_tempo_real__w60__adv_z_pre_15s_spread_medio__slope >= -0.0079604878,1,137,69.1919191919192,50,87,-37,14480.000000007567,61,-7119.999999997526,-14480.000000007567,0.7218750000000966,-0.39032012195127597,-116.72131147536928,47.540983606557376,13199.999999997817,4959.999999999127,-21412.192073178638
13a_features_tempo_real__w60__pre_15s_spread_medio__slope >= -0.0036154902,1,137,69.1919191919192,50,87,-37,14480.000000007567,61,-7119.999999997526,-14480.000000007567,0.7218750000000966,-0.39032012195127597,-116.72131147536928,47.540983606557376,13199.999999997817,4959.999999999127,-21412.192073178638
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first >= 0.93528101,1,119,60.1010101010101,42,77,-35,14640.000000006694,79,-7279.999999996653,-14640.000000006694,0.7725000000001045,-0.33969512195126805,-92.15189873413485,49.36708860759494,16559.9999999984,1599.9999999985448,-22081.817073177965
13a_features_tempo_real__w60__adv_z_pre_15s_spread_medio__slope >= -0.010134602,1,146,73.73737373737373,54,92,-38,15360.000000007858,52,-7999.999999997817,-15360.000000007858,0.6428571428572403,-0.46933797909413233,-153.84615384611186,46.15384615384615,13759.9999999984,4399.999999998545,-22853.602787464846
13a_features_tempo_real__w60__pre_15s_spread_medio__slope >= -0.0046029285,1,146,73.73737373737373,54,92,-38,15360.000000007858,52,-7999.999999997817,-15360.000000007858,0.6428571428572403,-0.46933797909413233,-153.84615384611186,46.15384615384615,13759.9999999984,4399.999999998545,-22853.602787464846
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta <= 0.48870926,1,132,66.66666666666666,48,84,-36,16320.000000006985,66,-8959.999999996944,-16320.000000006985,0.67058823529423,-0.44160688665714265,-135.75757575752945,48.484848484848484,13439.99999999869,4719.999999998254,-23116.96413200188
13a_features_tempo_real__w60__adv_z_pre_15s_spread_medio__slope >= -0.019074994,1,164,82.82828282828282,62,102,-40,16160.000000008586,34,-8799.999999998545,-16160.000000008586,0.45000000000009094,-0.6621951219512816,-258.8235294117219,41.17647058823529,12079.999999998836,6079.999999998108,-23817.317073180016
13a_features_tempo_real__w60__pre_15s_spread_medio__slope >= -0.008663471,1,164,82.82828282828282,62,102,-40,16160.000000008586,34,-8799.999999998545,-16160.000000008586,0.45000000000009094,-0.6621951219512816,-258.8235294117219,41.17647058823529,12079.999999998836,6079.999999998108,-23817.317073180016
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta <= 0.60099524,1,158,79.7979797979798,59,99,-40,16880.000000008295,40,-9519.999999998254,-16880.000000008295,0.4826086956522688,-0.6295864262991038,-237.99999999995634,42.5,11759.999999999127,6399.999999997817,-24303.75185578852
13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta <= 0.41182767,1,119,60.1010101010101,43,76,-33,18400.00000000582,79,-11039.99999999578,-18400.00000000582,0.6461538461539814,-0.4660412757973912,-139.74683544298455,50.63291139240506,15679.999999998108,2479.999999998836,-25279.624765484663
13a_features_tempo_real__last__preco >= 27961.495,1,66,33.33333333333333,18,48,-30,18240.000000003783,132,-10879.999999993743,-18240.000000003783,0.7875000000001222,-0.3246951219512504,-82.42424242419501,51.515151515151516,20559.999999996217,-2399.9999999992724,-25346.81707317428
13a_features_tempo_real__last__preco >= 27881.5,1,120,60.60606060606061,39,81,-42,18960.00000000713,78,-11599.99999999709,-18960.00000000713,0.6627906976745032,-0.44940442427686944,-148.7179487179114,44.871794871794876,17119.999999997526,1039.999999999418,-27835.642654573458
