regra_bloqueio,componentes,trades_bloqueados,pct_trades_bloqueados,losses_evitados,gains_perdidos,saldo_eventos,pontos_dos_trades_bloqueados,trades_restantes,resultado_novo,melhoria_resultado,pf_novo,melhoria_pf,expectancia_nova,winrate_novo,dd_novo,reducao_dd,score_rank
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos <= 192.06899),2,49,24.747474747474747,28,21,7,-12559.999999997672,149,19920.000000007713,12559.999999997672,1.4611111111112896,0.34891598915991695,133.691275167837,63.758389261744966,6959.999999999127,11199.999999997817,17011.349593492858
(13a_features_tempo_real__last__preco <= 27865.528) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__std >= 0.17448163),2,39,19.696969696969695,25,14,11,-11839.99999999869,159,19200.00000000873,11839.99999999869,1.4210526315791387,0.30885750962776615,120.75471698118699,64.15094339622641,7679.999999998108,10479.999999998836,16845.314505774943
(13a_features_tempo_real__last__preco <= 27901.75) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first <= 0.88386897),2,34,17.17171717171717,23,11,12,-10959.999999999127,164,18320.000000009168,10959.999999999127,1.3881355932205333,0.27594047126916066,111.70731707322663,64.02439024390245,6719.999999997526,11439.999999999418,16531.564282760417
(13a_features_tempo_real__last__pre_60s_volatilidade_close_pontos <= 192.06899) E (13a_features_tempo_real__last__preco <= 27989.375),2,77,38.88888888888889,40,37,3,-12559.999999996217,121,19920.000000006257,12559.999999996217,1.592857142857329,0.48066202090595644,164.62809917360542,65.28925619834712,5919.999999998981,12239.999999997963,16318.397212539076
(13a_features_tempo_real__last__preco <= 27934.05) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.41182767),2,52,26.262626262626267,29,23,6,-11919.999999997526,146,19280.000000007567,11919.999999997526,1.454716981132254,0.3425218591808814,132.05479452059978,63.6986301369863,6559.999999997672,11599.999999999272,16291.5131155058
(13a_features_tempo_real__last__pre_30s_spread_minimo >= 1) E (13a_features_tempo_real__w60__adv_delta_spread_minimo_15s_30s__delta >= 0.035119048),2,28,14.14141414141414,20,8,12,-12159.999999999127,170,19520.000000009168,12159.999999999127,1.393548387096959,0.28135326514558634,114.82352941181864,63.52941176470588,11599.999999997817,6559.999999999127,16128.811959086175
(13a_features_tempo_real__last__preco <= 27989.375) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first <= 0.88386897),2,51,25.757575757575758,30,21,9,-11279.999999998108,147,18640.00000000815,11279.999999998108,1.4480769230771189,0.3358818011257463,126.80272108849081,64.62585034013605,6799.999999997817,11359.999999999127,16075.529080673252
(13a_features_tempo_real__last__preco <= 27961.495) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.34707626),2,69,34.84848484848485,38,31,7,-11439.999999997235,129,18800.000000007276,11439.999999997235,1.534090909091116,0.4218957871397433,145.73643410858352,65.89147286821705,5759.999999999127,12399.999999997817,16015.137472280316
(13a_features_tempo_real__last__preco <= 27989.375) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__first <= 0.93528101),2,61,30.808080808080806,35,26,9,-11199.999999997817,137,18560.000000007858,11199.999999997817,1.4936170212768047,0.38142189932543213,135.47445255480187,65.69343065693431,6719.999999997526,11439.999999999418,15880.853139592873
(13a_features_tempo_real__last__preco <= 27881.5) E (13a_features_tempo_real__w60__adv_ratio_volatilidade_close_pontos_15s_60s__delta >= 0.48870926),2,26,13.131313131313133,19,7,12,-10639.999999999418,172,18000.00000000946,10639.999999999418,1.3571428571430448,0.24494773519167223,104.65116279075266,63.372093023255815,8399.999999997817,9759.999999999127,15740.968641114116
