variavel,n_stop,n_nao_stop,media_stop,media_nao_stop,mediana_stop,mediana_nao_stop,diferenca_medias,efeito_padronizado,correlacao_resultado,abs_efeito
07_bloqueios_auditoria_completa__last__score_base_dna,17,17,68.29411764705883,71.41176470588235,69.0,70.0,-3.117647058823522,-0.3070040160382626,0.06516214762122365,0.3070040160382626
07_bloqueios_auditoria_completa__w60__impediu_gain_30s__true_pct,43,54,45.98560354374308,57.14205547538881,50.0,55.0,-11.156451931645726,-0.3059531412846121,0.14925262502684913,0.3059531412846121
07_bloqueios_auditoria_completa__w60__rompimento_venda__last,43,54,-8.104651162790697,-5.662037037037037,-8.25,-2.625,-2.4426141257536598,-0.3050137707496077,0.10201160904880203,0.3050137707496077
05_estrutura_eventos_enriquecidos__w60__spread_pct_5__slope,39,53,-0.003515174046082592,0.016364293672434374,-0.009189244768528998,0.005279345780865525,-0.019879467718516966,-0.3049501125298907,0.06592347288603341,0.3049501125298907
06_evolucao_score_eventos__w60__spread_pct_5__slope,39,53,-0.003515174046082592,0.016364293672434374,-0.009189244768528998,0.005279345780865525,-0.019879467718516966,-0.3049501125298907,0.06592347288603341,0.3049501125298907
bloqueios_c7_dna_fluxo_v5_2__w60__campanha_entradas__max,49,69,0.3673469387755102,0.18840579710144928,0.0,0.0,0.17894114167406094,0.3041050593187007,-0.1069171802541225,0.3041050593187007
bloqueios_c7_dna_fluxo_v5_2__w60__campanha_ativa__first,49,69,0.2653061224489796,0.14492753623188406,0.0,0.0,0.12037858621709555,0.303882384185783,-0.13864706321963116,0.303882384185783
07_bloqueios_auditoria_completa__w60__score_compra__mean,43,54,47.39695459579181,38.854405162738495,46.5,31.75,8.542549433053317,0.3032875987469315,-0.07319661931996106,0.3032875987469315
estados_c7_dna_fluxo_v5_2__last__spread_pct_15,34,46,0.4731915921646941,0.3817458918628296,0.47691904179052275,0.3707090404413056,0.0914457003018645,0.3031021234029249,-0.1339552046580132,0.3031021234029249
05_estrutura_eventos_enriquecidos__last__razao_compra30,29,34,1.0990705947237105,0.9786026736970169,1.021505376344086,0.956124534198822,0.12046792102669357,0.30280899658861327,-0.17101205634368388,0.30280899658861327
06_evolucao_score_eventos__last__razao_compra30,29,34,1.0990705947237105,0.9786026736970169,1.021505376344086,0.956124534198822,0.12046792102669357,0.30280899658861327,-0.17101205634368388,0.30280899658861327
bloqueios_c7_dna_fluxo_v5_2__w60__delta30__slope,32,41,4.164285714285714,-1.849567099567099,3.100000000000005,-0.32142857142857084,6.013852813852813,0.3026429310241481,-0.19576085155821019,0.3026429310241481
06_evolucao_score_eventos__w60__score_aceleracao__mean,51,65,0.001913346228859722,0.00650054303896596,-0.00023641838161774024,0.0010379061940946,-0.004587196810106238,-0.3014411112184006,0.22750098803752425,0.3014411112184006
13a_features_tempo_real__w60__pre_15s_volatilidade_close_pontos__slope,75,108,3.5051124435466705,1.3293273940488766,0.8262843759199425,0.6578066731311183,2.1757850494977937,0.30025769000642394,-0.13298748697919682,0.30025769000642394
05_estrutura_eventos_enriquecidos__w60__favor_120s__max,51,65,1866.1764705882354,1433.4615384615386,1325.0,1225.0,432.7149321266968,0.2999531472723728,-0.10605777524312526,0.2999531472723728
05_estrutura_eventos_enriquecidos__w60__eficiencia_swings__max,51,65,0.3058825454391439,0.27229788608559663,0.3178294573643411,0.2777777777777778,0.033584659353547264,0.2998971790759727,-0.12783436138110635,0.2998971790759727
06_evolucao_score_eventos__w60__eficiencia_swings__max,51,65,0.3058825454391439,0.27229788608559663,0.3178294573643411,0.2777777777777778,0.033584659353547264,0.2998971790759727,-0.12783436138110635,0.2998971790759727
05_estrutura_eventos_enriquecidos__last__spread_max_30,29,34,2.6810344827586206,2.4926470588235294,2.5,2.5,0.18838742393509111,0.2991863900681821,-0.09035710893346008,0.2991863900681821
