dna_id,classe_dna,sequencia,hora,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,taxa_acerto_alvo_pct
DNA_06528B31BF49,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,22,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,1,2,0,2,0.0,0.0,0.0,-1.0,2,2.0,1,100.0
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,3,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,12,3,0,3,0.0,0.0,0.0,-1.0,3,3.0,2,100.0
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,13,2,1,1,50.0,9.452865480086611,1.0,0.0,1,1.0,2,50.0
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,15,1,0,1,0.0,0.0,0.0,-1.0,1,1.0,1,100.0
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,19,1,1,0,100.0,20.654329147389294,inf,1.0,0,0.0,1,0.0
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,21,4,2,2,50.0,15.003570882017145,1.0,0.0,2,2.0,3,50.0
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,22,2,0,2,0.0,0.0,0.0,-1.0,2,2.0,1,100.0
DNA_0721D6E6F3C9,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,23,2,0,2,0.0,0.0,0.0,-1.0,2,2.0,2,100.0
