dna_id,classe_dna,sequencia,lado_norm,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,taxa_acerto_alvo_pct
DNA_1F43317DBDF1,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,VENDA,7,0,7,0.0,0.0,0.0,-1.0,7,7.0,3,100.0
DNA_1F9234FD4012,DNA_GAIN,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU,VENDA,5,3,2,60.0,23.0719932208837,1.5,0.2,2,2.0,3,60.0
DNA_200784D63B62,DNA_GAIN,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU,COMPRA,3,2,1,66.66666666666667,20.765495512648787,2.0,0.3333333333333333,1,1.0,3,66.66666666666667
DNA_220F5CDB9A4C,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,COMPRA,9,2,7,22.22222222222222,6.322376231222721,0.2857142857142857,-0.5555555555555556,5,5.0,3,77.77777777777777
DNA_239E845429E1,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CAMPANHA_ENTRADAS_ACELEROU_POS,COMPRA,6,2,4,33.333333333333336,9.676933255921684,0.5,-0.3333333333333333,4,4.0,3,66.66666666666667
DNA_241F450E2DE1,DNA_GAIN,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,COMPRA,10,6,4,60.0,31.266954745018634,1.5,0.2,2,2.0,4,60.0
DNA_24FF85DB4724,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,COMPRA,5,0,5,0.0,0.0,0.0,-1.0,5,5.0,2,100.0
DNA_2539A49474E0,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,COMPRA,8,0,8,0.0,0.0,0.0,-1.0,8,8.0,3,100.0
DNA_25755CE31F05,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,COMPRA,9,5,4,55.55555555555556,26.664734574402967,1.25,0.1111111111111111,2,2.0,3,55.55555555555556
DNA_270AC6A9E750,DNA_GAIN,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,VENDA,8,5,3,62.5,30.573785458380183,1.6666666666666667,0.25,2,2.0,3,62.5
DNA_279BD6642AFF,DNA_GAIN,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,COMPRA,8,5,3,62.5,30.573785458380183,1.6666666666666667,0.25,3,3.0,4,62.5
DNA_27EB99DE00C9,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,VENDA,8,3,5,37.5,13.684175946152106,0.6,-0.25,3,3.0,3,62.5
DNA_280552AE4D03,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,COMPRA,2,1,1,50.0,9.452865480086611,1.0,0.0,1,1.0,2,50.0
DNA_280552AE4D03,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,VENDA,6,0,6,0.0,0.0,0.0,-1.0,6,6.0,2,100.0
DNA_2A22C099C159,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,COMPRA,11,3,8,27.272727272727273,9.745880573921468,0.375,-0.45454545454545453,4,6.0,4,72.72727272727273
DNA_2AA78FEE2F3D,DNA_STOP,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,VENDA,8,1,7,12.5,2.2416908863296183,0.14285714285714285,-0.75,7,7.0,3,87.5
DNA_2C7C4EEB27F8,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,COMPRA,3,1,2,33.333333333333336,6.149031527616051,0.5,-0.3333333333333333,2,2.0,2,33.333333333333336
DNA_2D385610730A,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,VENDA,8,2,6,25.0,7.1477688858027655,0.3333333333333333,-0.5,5,5.0,3,75.0
DNA_2EB86B0CB4CA,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CAMPANHA_ENTRADAS_ESTAVEL,COMPRA,7,1,6,14.285714285714286,2.567895594897479,0.16666666666666666,-0.7142857142857143,3,5.0,2,85.71428571428571
DNA_2F81D1AF8F8D,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU,COMPRA,12,2,10,16.666666666666668,4.696414761482225,0.2,-0.6666666666666666,8,8.0,3,83.33333333333333
