dna_id,classe_dna,sequencia,dias_ativos,motores_ativos,lados_ativos,horas_ativas,taxa_alvo_media_dias_pct,taxa_alvo_desvio_dias_pp,cv_taxa_alvo_diaria,concentracao_melhor_dia_pct,hora_modal,motor_modal,lado_modal
DNA_575CA6CFE943,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL,2,1,2,4,87.5,12.5,0.14285714285714285,80.0,13,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_59B7A0672312,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,4,2,2,15,85.59523809523809,9.526041405148717,0.11129172156223816,39.473684210526315,11,motor_c7_dna_fluxo_v5_2,VENDA
DNA_5B29B166BC76,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU,3,1,1,4,66.66666666666667,47.14045207910317,0.7071067811865475,40.0,12,motor_operacional_c7_v3_1,COMPRA
DNA_5B6B85395894,DNA_GAIN,CAMPANHA_ENTRADAS_ACELEROU_POS > CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,3,2,1,5,55.555555555555564,15.713484026367723,0.28284271247461895,33.333333333333336,12,motor_c7_dna_fluxo_v5_2,VENDA
DNA_5C67446DBC61,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_CAIU,3,2,1,7,100.0,0.0,0.0,58.333333333333336,11,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_5CCB7B3B1DDB,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU,4,1,1,14,67.85714285714286,10.412414097938036,0.15344610249592894,33.333333333333336,22,motor_c7_dna_fluxo_v5_2,VENDA
DNA_5D6059A4B67E,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,4,1,2,13,86.66666666666667,14.14213562373095,0.16317848796612633,42.857142857142854,14,motor_c7_dna_fluxo_v5_2,VENDA
DNA_5E0BA78DB821,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,4,1,1,6,90.0,17.320508075688775,0.19245008972987526,55.55555555555556,13,motor_operacional_c7_v3_1,VENDA
DNA_5E844DE1A903,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,3,1,1,8,91.66666666666667,11.785113019775793,0.128564869306645,61.53846153846154,11,motor_c7_dna_fluxo_v5_2,VENDA
DNA_5F17EEA638BA,DNA_GAIN,AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,2,1,1,2,25.0,25.0,1.0,66.66666666666667,12,motor_operacional_c7_v3_1,COMPRA
DNA_5FF182AC503E,DNA_GAIN,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,3,1,2,9,71.66666666666667,24.608038433722335,0.3433679781449628,50.0,11,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_6135DE744E37,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,4,2,1,13,65.45454545454545,19.44595297834478,0.2970909482802675,39.473684210526315,10,motor_c7_dna_fluxo_v5_2,VENDA
DNA_615C44D1EC83,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL,3,2,2,14,95.23809523809524,6.734350297014741,0.07071067811865478,46.666666666666664,14,motor_c7_dna_fluxo_v5_2,VENDA
DNA_625C2B7C54B9,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ESTAVEL,4,1,1,10,75.41666666666667,15.155444566227676,0.20095617104390287,55.55555555555556,11,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_628F787ED9B5,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,3,2,1,6,46.666666666666664,41.096093353126506,0.8806305718527109,71.42857142857143,21,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_629F4CF574CC,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,3,2,1,3,100.0,0.0,0.0,33.333333333333336,8,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_63F4D930DAD8,DNA_STOP,CAMPANHA_ENTRADAS_ACELEROU_NEG > CAMPANHA_ENTRADAS_SUBIU,3,1,1,6,57.142857142857146,42.0560041253707,0.7359800721939872,70.0,11,motor_operacional_c7_v3_1,COMPRA
DNA_64024AA702F7,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,2,1,1,3,0.0,0.0,inf,66.66666666666667,5,motor_operacional_c7_v3_1,COMPRA
DNA_6612D78FAE3E,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,3,2,1,6,43.333333333333336,32.99831645537222,0.7614996105085896,45.45454545454545,14,motor_c7_dna_fluxo_v5_2,VENDA
DNA_66AC9CFEA710,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,2,1,1,5,100.0,0.0,0.0,66.66666666666667,15,motor_operacional_c7_v3_1,COMPRA
DNA_66F37DEE2F20,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,4,2,1,14,76.88492063492063,4.35039919628585,0.05658325664330499,35.294117647058826,13,motor_c7_dna_fluxo_v5_2,VENDA
DNA_678815D30B0A,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,1,1,1,2,100.0,0.0,0.0,100.0,11,motor_operacional_c7_v3_1,COMPRA
DNA_67BF56E6F6F7,DNA_STOP,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,4,1,1,13,83.33333333333333,14.719601443879744,0.17663521732655693,37.03703703703704,12,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_6BD1657438B4,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU,4,1,1,5,75.0,43.30127018922193,0.5773502691896257,50.0,11,motor_operacional_c7_v3_1,COMPRA
DNA_6BFF2F641F08,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_CAIU,4,2,1,15,67.16269841269842,7.324492841778659,0.10905596432072212,34.61538461538461,15,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_6CBBC9B7979D,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,2,1,2,3,100.0,0.0,0.0,66.66666666666667,12,motor_operacional_c7_v3_1,VENDA
DNA_6CEF91CE8DEB,DNA_GAIN,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,3,2,1,4,33.333333333333336,47.14045207910317,1.414213562373095,60.0,12,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_6D38AE4E4F5E,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,4,1,1,9,53.333333333333336,39.15780041490244,0.7342087577794207,35.714285714285715,14,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_6D697D805F35,DNA_GAIN,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,3,1,1,5,38.88888888888889,28.327886186626586,0.7284313590846836,50.0,10,motor_operacional_c7_v3_1,VENDA
DNA_6E65B1A267EF,DNA_STOP,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,3,1,1,5,66.66666666666667,47.14045207910317,0.7071067811865475,60.0,11,motor_operacional_c7_v3_1,COMPRA
DNA_6EDC41322556,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_POS,4,1,1,7,50.0,50.0,1.0,37.5,8,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_6FA612A87BD0,DNA_STOP,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_ESTAVEL,3,1,2,8,62.5,44.487826050130465,0.7118052168020874,66.66666666666667,10,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_732510572C91,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,3,2,1,10,58.333333333333336,24.532669073132908,0.420560041253707,46.15384615384615,10,motor_c7_dna_fluxo_v5_2,VENDA
DNA_752D85E593E4,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_SUBIU,3,1,2,5,83.33333333333333,23.570226039551585,0.28284271247461906,33.333333333333336,20,motor_operacional_c7_v3_1,VENDA
DNA_757C6CFC0731,DNA_STOP,AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG > AJUSTE_ESTRUTURA_VENDA_SUBIU > CAMPANHA_ENTRADAS_ACELEROU_POS > CAMPANHA_ENTRADAS_CAIU,2,1,2,3,100.0,0.0,0.0,50.0,12,motor_operacional_c7_v3_1,COMPRA
DNA_76F811B50CCB,DNA_GAIN,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,3,1,1,5,50.0,40.824829046386306,0.8164965809277261,66.66666666666667,21,motor_c7_dna_fluxo_v5_2,COMPRA
DNA_7DEF0FCAEF00,DNA_GAIN,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_SUBIU,4,2,1,5,37.5,41.4578098794425,1.1055415967851334,42.857142857142854,13,motor_c7_dna_fluxo_v5_2,VENDA
