dna_id,classe_dna,escopo,motor_catalogo,lado_catalogo,tamanho,sequencia,evidencia_16e,score_descoberta_16e,aparicoes,gains,stops,winrate_pct,wilson_95_inferior_pct,profit_factor_r,expectancia_r,sequencia_max_stops,max_drawdown_r,dias_ativos,classe_alvo,acertos_classe_alvo,taxa_acerto_classe_alvo_pct,taxa_erro_classe_alvo_pct
DNA_41436FAF00CA,DNA_STOP,MOTOR,motor_operacional_c7_v3_1,,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,MODERADA,57.9136,19,4,15,21.05263157894737,8.507538491591575,0.26666666666666666,-0.5789473684210527,6,13.0,4,STOP,15,78.94736842105263,21.05263157894737
DNA_06528B31BF49,DNA_STOP,MOTOR,motor_c7_dna_fluxo_v5_2,,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU,MODERADA,40.4124,19,4,15,21.05263157894737,8.507538491591575,0.26666666666666666,-0.5789473684210527,5,11.0,4,STOP,15,78.94736842105263,21.05263157894737
DNA_E3A1FE45AED7,DNA_STOP,GLOBAL,,,4,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG,MODERADA,50.1626,28,6,22,21.428571428571427,10.21232170118942,0.2727272727272727,-0.5714285714285714,6,16.0,4,STOP,22,78.57142857142857,21.42857142857143
DNA_DDA6363F8912,DNA_STOP,MOTOR,motor_c7_dna_fluxo_v5_2,,4,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,MODERADA,40.4124,14,3,11,21.428571428571427,7.57124833691637,0.2727272727272727,-0.5714285714285714,5,8.0,3,STOP,11,78.57142857142857,21.42857142857143
DNA_67BF56E6F6F7,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,3,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,MODERADA,43.6888,27,6,21,22.22222222222222,10.607095489408955,0.2857142857142857,-0.5555555555555556,8,15.0,4,STOP,21,77.77777777777777,22.22222222222223
DNA_0721D6E6F3C9,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,3,AJUSTE_ESTRUTURA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU,MODERADA,59.8692,18,4,14,22.22222222222222,9.000781913382001,0.2857142857142857,-0.5555555555555556,6,12.0,4,STOP,14,77.77777777777777,22.22222222222223
DNA_86B4984E6916,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,4,AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,MODERADA,48.1638,18,4,14,22.22222222222222,9.000781913382001,0.2857142857142857,-0.5555555555555556,6,11.0,4,STOP,14,77.77777777777777,22.22222222222223
DNA_B22497B06940,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,5,AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU,MODERADA,44.4844,18,4,14,22.22222222222222,9.000781913382001,0.2857142857142857,-0.5555555555555556,6,11.0,4,STOP,14,77.77777777777777,22.22222222222223
DNA_945CCA561EB6,DNA_STOP,MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,3,AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_SUBIU,FRACA,38.4775,9,2,7,22.22222222222222,6.322376231222721,0.2857142857142857,-0.5555555555555556,4,5.0,3,STOP,7,77.77777777777777,22.22222222222223
DNA_5E0BA78DB821,DNA_STOP,MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,3,AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS,FRACA,39.523,9,2,7,22.22222222222222,6.322376231222721,0.2857142857142857,-0.5555555555555556,5,5.0,4,STOP,7,77.77777777777777,22.22222222222223
