variavel,elegivel_regra,motivo
13a_features_tempo_real__post15__cobertura_15s__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_15s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_15s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_15s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_30s__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_30s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_30s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_30s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_60s__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_60s__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_60s__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__cobertura_60s__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_volatilidade_close_pontos__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_volatilidade_close_pontos__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_volatilidade_close_pontos__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_15s_volatilidade_close_pontos__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_60s_bid_size_medio_soma__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_60s_bid_size_medio_soma__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_60s_bid_size_medio_soma__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_60s_bid_size_medio_soma__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_60s_volatilidade_close_pontos__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_60s_volatilidade_close_pontos__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_60s_volatilidade_close_pontos__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__pre_60s_volatilidade_close_pontos__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__preco__delta,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__preco__min,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__preco__max,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post15__preco__range,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__n,False,FUTURO_OU_RESULTADO
13a_features_tempo_real__post30__adv_delta_spread_minimo_15s_30s__delta,False,FUTURO_OU_RESULTADO
