variavel,n_stop,n_nao_stop,media_stop,media_nao_stop,mediana_stop,mediana_nao_stop,diferenca_medias,efeito_padronizado,correlacao_resultado,abs_efeito
06_evolucao_score_eventos__pre60__aprovado__true_pct,51,65,14.220354808590102,14.945665445665446,0.0,0.0,-0.7253106370753439,-0.027061757585626477,0.10517142708148315,0.027061757585626477
07_bloqueios_auditoria_completa__pre60__gate_saldo30__true_count,43,54,2.883720930232558,2.8333333333333335,2.0,2.5,0.05038759689922445,0.026993823883593365,-0.000878516028200231,0.026993823883593365
bloqueios_c7_dna_fluxo_v5_2__pre60__aceleracao__dist_media,53,73,0.03189122542584157,0.05462505393257975,0.0,0.0,-0.022733828506738177,-0.02696194086794884,0.04098995519707349,0.02696194086794884
07_bloqueios_auditoria_completa__pre60__score_venda_base__max,43,54,56.48837209302326,57.25925925925926,69.0,69.0,-0.7708871662360011,-0.026925737525229167,-0.013157403453739797,0.026925737525229167
estados_c7_dna_fluxo_v5_2__pre60__venda10__recuo_max,61,86,-52.39344262295082,-49.53488372093023,-24.0,-22.0,-2.85855890202059,-0.026822749466407666,0.027392644828719448,0.026822749466407666
05_estrutura_eventos_enriquecidos__pre60__qtd_hard_gates_ok__pos_range,51,65,0.6568627450980392,0.6671794871794872,0.75,0.75,-0.01031674208144795,-0.02671518185591532,0.010163022898066877,0.02671518185591532
06_evolucao_score_eventos__pre60__qtd_hard_gates_ok__pos_range,51,65,0.6568627450980392,0.6671794871794872,0.75,0.75,-0.01031674208144795,-0.02671518185591532,0.010163022898066877,0.02671518185591532
estados_c7_dna_fluxo_v5_2__pre60__ajuste_estrutura_compra__first,61,86,2.098360655737705,2.302325581395349,8.0,3.0,-0.2039649256576439,-0.026627705839794156,0.08558208888241864,0.026627705839794156
estados_c7_dna_fluxo_v5_2__pre60__continuidade_2s__std,61,86,2.1159726896573177,2.1579774455621967,1.911627837120584,1.9980220077997424,-0.042004755904879065,-0.026586315399250302,0.06666291369399392,0.026586315399250302
05_estrutura_eventos_enriquecidos__pre60__compra30__repique_min,51,65,33.431372549019606,32.06153846153846,22.0,12.0,1.369834087481145,0.026581925482609733,0.01645396206021726,0.026581925482609733
06_evolucao_score_eventos__pre60__compra30__repique_min,51,65,33.431372549019606,32.06153846153846,22.0,12.0,1.369834087481145,0.026581925482609733,0.01645396206021726,0.026581925482609733
estados_c7_dna_fluxo_v5_2__pre60__confirmacoes_candidata__mean,61,86,0.5381815816242045,0.5198366555924696,0.4,0.35416666666666663,0.018344926031734876,0.026562770483039445,0.002176502920033484,0.026562770483039445
05_estrutura_eventos_enriquecidos__pre60__sucesso250_30s__first,51,65,0.5098039215686274,0.5230769230769231,1.0,1.0,-0.01327300150829569,-0.026561799508924535,0.050808269193385505,0.026561799508924535
estado_mercado_tempo_real__pre60__spread_qt__range,86,121,1.0087209302325582,1.0227272727272727,1.0,1.0,-0.014006342494714552,-0.026531179256181477,0.024260848398525523,0.026531179256181477
bloqueios_c7_dna_fluxo_v5_2__pre60__diferenca_score__delta,53,73,0.11320754716981132,0.684931506849315,0.0,0.0,-0.5717239596795037,-0.026498344047670545,0.03759119952120964,0.026498344047670545
05_estrutura_eventos_enriquecidos__pre60__max_alta_30s__ret_pct,32,37,73.79039958356611,61.220388824848605,-39.40476190476191,-100.0,12.570010758717508,0.026453393711180214,0.03933259390139141,0.026453393711180214
06_evolucao_score_eventos__pre60__max_alta_30s__ret_pct,32,37,73.79039958356611,61.220388824848605,-39.40476190476191,-100.0,12.570010758717508,0.026453393711180214,0.03933259390139141,0.026453393711180214
estados_c7_dna_fluxo_v5_2__pre60__gate_rompimento__transitions,61,86,1.278688524590164,1.244186046511628,1.0,1.0,0.034502478078536125,0.026447545806529367,-0.04168259083386318,0.026447545806529367
estados_c7_dna_fluxo_v5_2__pre60__score_venda__first,61,86,43.295081967213115,42.53488372093023,39.0,39.0,0.7601982462828829,0.026386789837303415,-0.03126881232049651,0.026386789837303415
05_estrutura_eventos_enriquecidos__pre60__max_alta_120s__range,51,65,843.6274509803922,822.6923076923077,700.0,675.0,20.93514328808442,0.026348417471863086,0.0011846619834153243,0.026348417471863086
