escopo,motor_id,lado_norm,classe_dna,tamanho,sequencia,historias_total,historias_gain,historias_stop,ocorrencias,suporte_total_pct,suporte_gain_pct,suporte_stop_pct,confianca_gain_pct,confianca_stop_pct,lift_gain,lift_stop,diferenca_suporte_pp,log_odds_gain,evidencia,score_dna
MOTOR,motor_c7_dna_fluxo_v5_2,,DNA_GAIN,5,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_POS > AJUSTE_ESTRUTURA_COMPRA_CAIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_NEG,1284,10,5,15,1.168224,1.862197,0.669344,66.666667,33.333333,1.594041,0.572959,1.192853,0.988501,FRACA,46.3999
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,2,CAMPANHA_ENTRADAS_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS,451,9,5,14,3.104213,5.084746,1.824818,64.285714,35.714286,1.638015,0.587852,3.259928,1.016176,FRACA,46.3074
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,3,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_SUBIU,870,9,5,14,1.609195,2.670623,0.938086,64.285714,35.714286,1.659602,0.582954,1.732537,1.02205,FRACA,45.623
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,6,AJUSTE_ESTRUTURA_COMPRA_SUBIU > AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,612,12,7,19,3.104575,4.918033,1.902174,63.157895,36.842105,1.584124,0.6127,3.015859,0.952197,FRACA,44.8455
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,COMPRA,DNA_GAIN,5,AJUSTE_ESTRUTURA_SUBIU > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_CAIU,612,12,7,19,3.104575,4.918033,1.902174,63.157895,36.842105,1.584124,0.6127,3.015859,0.952197,FRACA,44.8455
MOTOR_LADO,motor_c7_dna_fluxo_v5_2,VENDA,DNA_GAIN,3,AJUSTE_ESTRUTURA_VENDA_CAIU > CONFIRMACOES_CANDIDATA_ACELEROU_NEG > CONFIRMACOES_CANDIDATA_SUBIU,672,8,4,12,1.785714,2.730375,1.055409,66.666667,33.333333,1.52901,0.591029,1.674966,0.910005,FRACA,44.1685
MOTOR_LADO,motor_operacional_c7_v3_1,VENDA,DNA_GAIN,2,CAMPANHA_ENTRADAS_ACELEROU_POS > CAMPANHA_ENTRADAS_CAIU,451,10,6,16,3.547672,5.649718,2.189781,62.5,37.5,1.592514,0.617245,3.459936,0.951441,FRACA,43.9804
MOTOR,motor_operacional_c7_v3_1,,DNA_GAIN,5,AJUSTE_ESTRUTURA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ACELEROU_POS > AJUSTE_ESTRUTURA_VENDA_SUBIU > CONFIRMACOES_CANDIDATA_ACELEROU_POS > CONFIRMACOES_CANDIDATA_SUBIU,870,7,4,11,1.264368,2.077151,0.750469,63.636364,36.363636,1.642838,0.593553,1.326682,0.982152,FRACA,43.1674
LADO,,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL > AJUSTE_ESTRUTURA_VENDA_ESTAVEL > CONFIRMACOES_CANDIDATA_ESTAVEL,1031,7,4,11,1.066925,1.732673,0.637959,63.636364,36.363636,1.623987,0.597941,1.094715,0.960979,FRACA,42.5106
LADO,,COMPRA,DNA_GAIN,4,AJUSTE_ESTRUTURA_ACELEROU_NEG > AJUSTE_ESTRUTURA_CAIU > AJUSTE_ESTRUTURA_COMPRA_ACELEROU_NEG > AJUSTE_ESTRUTURA_COMPRA_ESTAVEL,1031,7,4,11,1.066925,1.732673,0.637959,63.636364,36.363636,1.623987,0.597941,1.094715,0.960979,FRACA,42.5106
