"Arquivo","Tamanho_MB","LastWriteTime","FullName"
"13e_trades_com_equity.csv","0,03","29/07/2026 09:18:35","C:\Nas100_dashboard\C7_LAB\relatorios\13e_trades_com_equity.csv"
"13e_por_motivo_saida.csv","0","29/07/2026 09:18:35","C:\Nas100_dashboard\C7_LAB\relatorios\13e_por_motivo_saida.csv"
"13e_por_hora.csv","0","29/07/2026 09:18:35","C:\Nas100_dashboard\C7_LAB\relatorios\13e_por_hora.csv"
"13e_por_dia.csv","0","29/07/2026 09:18:35","C:\Nas100_dashboard\C7_LAB\relatorios\13e_por_dia.csv"
"13e_por_setup.csv","0","29/07/2026 09:18:35","C:\Nas100_dashboard\C7_LAB\relatorios\13e_por_setup.csv"
"13e_resumo_global.csv","0","29/07/2026 09:18:35","C:\Nas100_dashboard\C7_LAB\relatorios\13e_resumo_global.csv"
"00_fontes_detectadas.csv","0","28/07/2026 22:28:20","C:\Nas100_dashboard\C7_LAB\dna_discovery\00_fontes_detectadas.csv"
"00_mapa_completo_colunas.csv","0,05","28/07/2026 22:28:20","C:\Nas100_dashboard\C7_LAB\dna_discovery\00_mapa_completo_colunas.csv"
"dna_trades_com_equity.csv","0,35","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_trades_com_equity.csv"
"dna_colunas_detectadas.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_colunas_detectadas.csv"
"dna_descobertas.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_descobertas.csv"
"dna_invalidacoes_resumo.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_invalidacoes_resumo.csv"
"dna_bloqueios_resumo.csv","0,86","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_bloqueios_resumo.csv"
"dna_sinais_resumo.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_sinais_resumo.csv"
"dna_por_spread.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_por_spread.csv"
"dna_por_motivo_entrada.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_por_motivo_entrada.csv"
"dna_por_campanha.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_por_campanha.csv"
"dna_por_estrutura.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_por_estrutura.csv"
"dna_por_score.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_por_score.csv"
"dna_por_resultado.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_por_resultado.csv"
"dna_por_lado.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_por_lado.csv"
"dna_por_hora.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_por_hora.csv"
"dna_por_dia.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_por_dia.csv"
"dna_resumo_global.csv","0","28/07/2026 22:05:34","C:\Nas100_dashboard\C7_LAB\relatorios_dna\dna_resumo_global.csv"
"quantower_export_20260728_172111.csv","250,02","28/07/2026 17:21:11","C:\Nas100_dashboard\archive_export\quantower_export_20260728_172111.csv"
"modulo12_setups_no_go.csv","0","27/07/2026 20:48:54","C:\Nas100_dashboard\C7_LAB\relatorios\modulo12_setups_no_go.csv"
"modulo12_setups_go_condicional.csv","0","27/07/2026 20:48:54","C:\Nas100_dashboard\C7_LAB\relatorios\modulo12_setups_go_condicional.csv"
"modulo12_setups_go.csv","0","27/07/2026 20:48:54","C:\Nas100_dashboard\C7_LAB\relatorios\modulo12_setups_go.csv"
"modulo12_decisoes_finais.csv","0","27/07/2026 20:48:54","C:\Nas100_dashboard\C7_LAB\relatorios\modulo12_decisoes_finais.csv"
"modulo11_reprovados.csv","0,03","27/07/2026 20:39:57","C:\Nas100_dashboard\C7_LAB\relatorios\modulo11_reprovados.csv"
"modulo11_aprovados_para_m12.csv","0","27/07/2026 20:39:57","C:\Nas100_dashboard\C7_LAB\relatorios\modulo11_aprovados_para_m12.csv"
"modulo11_resultados_holdout.csv","0,03","27/07/2026 20:39:57","C:\Nas100_dashboard\C7_LAB\relatorios\modulo11_resultados_holdout.csv"
"modulo10_resumo_lados.csv","0","27/07/2026 20:32:39","C:\Nas100_dashboard\C7_LAB\relatorios\modulo10_resumo_lados.csv"
"modulo10_resumo_clusters.csv","0","27/07/2026 20:32:39","C:\Nas100_dashboard\C7_LAB\relatorios\modulo10_resumo_clusters.csv"
