variaveis,regra,amostra,taxa_alvo_300_120s,taxa_base,lift
4,_f_razao_fluxo<=0.741693 E _f_aceleracao>=-0.000831627 E _f_ticks_s>=153.857 E _f_score<=61,34,0.8235294117647058,0.6188781756963575,1.3306809709973633
4,_f_spread<=1 E _f_velocidade>=0.205388 E _f_aceleracao<=-0.552272 E _f_ticks_s<=42.0552,17,0.8235294117647058,0.6188781756963575,1.3306809709973633
4,_f_delta<=-16 E _f_velocidade<=-0.216667 E _f_aceleracao<=0.543681 E _f_score<=47,17,0.8235294117647058,0.6188781756963575,1.3306809709973633
4,_f_delta>=0 E _f_velocidade>=0.205388 E _f_aceleracao>=0.543681 E _f_score<=47,17,0.8235294117647058,0.6188781756963575,1.3306809709973633
4,_f_delta<=0 E _f_saldo>=0 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,17,0.8235294117647058,0.6188781756963575,1.3306809709973633
4,_f_delta<=0 E _f_razao_fluxo<=1 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,17,0.8235294117647058,0.6188781756963575,1.3306809709973633
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=0.205388 E _f_ticks_s>=153.857 E _f_score<=47,17,0.8235294117647058,0.6188781756963575,1.3306809709973633
4,_f_delta<=16 E _f_saldo>=19 E _f_aceleracao<=0.543681 E _f_ticks_s>=153.857,56,0.8214285714285714,0.6188781756963575,1.3272863766835945
4,_f_delta<=-16 E _f_velocidade<=0 E _f_ticks_s>=153.857 E _f_score<=47,28,0.8214285714285714,0.6188781756963575,1.3272863766835945
4,_f_spread>=1.75 E _f_delta<=0 E _f_ticks_s>=153.857 E _f_score<=47,78,0.8205128205128205,0.6188781756963575,1.3258066817263108
4,_f_saldo>=19 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,78,0.8205128205128205,0.6188781756963575,1.3258066817263108
4,_f_delta<=0 E _f_saldo>=0 E _f_aceleracao>=-0.000831627 E _f_ticks_s>=153.857,39,0.8205128205128205,0.6188781756963575,1.3258066817263108
4,_f_delta<=0 E _f_razao_fluxo<=1 E _f_aceleracao>=-0.000831627 E _f_ticks_s>=153.857,39,0.8205128205128205,0.6188781756963575,1.3258066817263108
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857 E _f_score>=61,39,0.8205128205128205,0.6188781756963575,1.3258066817263108
4,_f_spread>=1 E _f_delta<=-16 E _f_velocidade>=0 E _f_score>=77,72,0.8194444444444444,0.6188781756963575,1.324080370942813
4,_f_spread>=1.75 E _f_saldo<=0 E _f_ticks_s>=153.857 E _f_score<=47,77,0.8181818181818182,0.6188781756963575,1.3220401854714066
4,_f_spread>=1.75 E _f_razao_fluxo>=1 E _f_ticks_s>=153.857 E _f_score<=47,77,0.8181818181818182,0.6188781756963575,1.3220401854714066
4,_f_delta>=16 E _f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857,77,0.8181818181818182,0.6188781756963575,1.3220401854714066
4,_f_razao_fluxo<=0.741693 E _f_aceleracao>=0.543681 E _f_ticks_s>=72.5852 E _f_score<=47,44,0.8181818181818182,0.6188781756963575,1.3220401854714066
4,_f_delta<=16 E _f_saldo>=19 E _f_velocidade<=0 E _f_ticks_s>=153.857,33,0.8181818181818182,0.6188781756963575,1.3220401854714066
4,_f_delta<=-16 E _f_saldo>=-17 E _f_aceleracao>=0.543681 E _f_score>=77,11,0.8181818181818182,0.6188781756963575,1.3220401854714066
4,_f_delta>=0 E _f_saldo<=0 E _f_aceleracao<=-0.552272 E _f_ticks_s>=153.857,11,0.8181818181818182,0.6188781756963575,1.3220401854714066
4,_f_delta>=0 E _f_razao_fluxo>=1 E _f_aceleracao<=-0.552272 E _f_ticks_s>=153.857,11,0.8181818181818182,0.6188781756963575,1.3220401854714066
4,_f_saldo<=-17 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857 E _f_score<=47,11,0.8181818181818182,0.6188781756963575,1.3220401854714066
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_aceleracao>=-0.000831627 E _f_score>=77,11,0.8181818181818182,0.6188781756963575,1.3220401854714066
4,_f_spread<=1 E _f_saldo>=19 E _f_ticks_s>=153.857 E _f_score<=47,27,0.8148148148148148,0.6188781756963575,1.3165996908809892
4,_f_spread<=1.25 E _f_delta>=-16 E _f_saldo<=-17 E _f_score<=47,27,0.8148148148148148,0.6188781756963575,1.3165996908809892
4,_f_spread<=1.25 E _f_delta<=-16 E _f_velocidade>=0.205388 E _f_ticks_s<=72.5852,59,0.8135593220338984,0.6188781756963575,1.3145710318811727
4,_f_razao_fluxo<=0.741693 E _f_velocidade<=-0.216667 E _f_ticks_s>=153.857 E _f_score>=47,75,0.8133333333333334,0.6188781756963575,1.3142058732612056
4,_f_spread>=1.75 E _f_saldo<=0 E _f_velocidade>=0 E _f_score>=77,16,0.8125,0.6188781756963575,1.3128593508500772
4,_f_spread>=1.75 E _f_razao_fluxo>=1 E _f_velocidade>=0 E _f_score>=77,16,0.8125,0.6188781756963575,1.3128593508500772
4,_f_razao_fluxo<=0.741693 E _f_aceleracao>=0.543681 E _f_ticks_s>=153.857 E _f_score<=61,16,0.8125,0.6188781756963575,1.3128593508500772
4,_f_velocidade>=0.205388 E _f_aceleracao>=0.543681 E _f_ticks_s>=153.857 E _f_score<=47,16,0.8125,0.6188781756963575,1.3128593508500772
4,_f_spread>=1 E _f_saldo<=-17 E _f_velocidade>=0 E _f_score>=77,69,0.8115942028985508,0.6188781756963575,1.3113957395336335
4,_f_delta<=-16 E _f_razao_fluxo<=1.33364 E _f_velocidade>=0 E _f_score>=77,69,0.8115942028985508,0.6188781756963575,1.3113957395336335
