motivo_bloqueio,salvou_loss_30s_count,salvou_loss_30s_mean,salvou_loss_30s_median,salvou_loss_30s_std,salvou_loss_30s_min,salvou_loss_30s_max,salvou_loss_60s_count,salvou_loss_60s_mean,salvou_loss_60s_median,salvou_loss_60s_std,salvou_loss_60s_min,salvou_loss_60s_max,salvou_loss_120s_count,salvou_loss_120s_mean,salvou_loss_120s_median,salvou_loss_120s_std,salvou_loss_120s_min,salvou_loss_120s_max,impediu_gain_30s_count,impediu_gain_30s_mean,impediu_gain_30s_median,impediu_gain_30s_std,impediu_gain_30s_min,impediu_gain_30s_max,impediu_gain_60s_count,impediu_gain_60s_mean,impediu_gain_60s_median,impediu_gain_60s_std,impediu_gain_60s_min,impediu_gain_60s_max,impediu_gain_120s_count,impediu_gain_120s_mean,impediu_gain_120s_median,impediu_gain_120s_std,impediu_gain_120s_min,impediu_gain_120s_max,mov_favor_30s_count,mov_favor_30s_mean,mov_favor_30s_median,mov_favor_30s_std,mov_favor_30s_min,mov_favor_30s_max,mov_favor_60s_count,mov_favor_60s_mean,mov_favor_60s_median,mov_favor_60s_std,mov_favor_60s_min,mov_favor_60s_max,mov_favor_120s_count,mov_favor_120s_mean,mov_favor_120s_median,mov_favor_120s_std,mov_favor_120s_min,mov_favor_120s_max
aceleração insuficiente -0.0121 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,0.0,-0.0,,-0.0,-0.0,1,0.0,-0.0,,-0.0,-0.0,1,1625.0,1625.0,,1625.0,1625.0
aceleração insuficiente -0.0127 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,675.0,675.0,,675.0,675.0,1,675.0,675.0,,675.0,675.0,1,1225.0,1225.0,,1225.0,1225.0
aceleração insuficiente -0.0136 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,0.0,0.0,1,0.0,0.0,,0.0,0.0,1,0.0,0.0,,0.0,0.0
aceleração insuficiente -0.0141 | sem rompimento confirmado -3.00 | sem continuidade -0.50 | hard-gate DNA incompleto | score 67 < 72,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,250.0,250.0,,250.0,250.0,1,925.0,925.0,,925.0,925.0,1,925.0,925.0,,925.0,925.0
aceleração insuficiente -0.0146 | sem rompimento confirmado -1.75 | sem continuidade -1.00 | hard-gate DNA incompleto | score 71 < 72,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,475.0,475.0,,475.0,475.0,1,475.0,475.0,,475.0,475.0,1,550.0,550.0,,550.0,550.0
aceleração insuficiente -0.0148 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,0.0,0.0,1,0.0,0.0,,0.0,0.0,1,0.0,0.0,,0.0,0.0
aceleração insuficiente -0.0155 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 67 < 72,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,200.0,200.0,,200.0,200.0,1,750.0,750.0,,750.0,750.0,1,750.0,750.0,,750.0,750.0
aceleração insuficiente -0.0156 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,250.0,250.0,,250.0,250.0,1,250.0,250.0,,250.0,250.0,1,250.0,250.0,,250.0,250.0
aceleração insuficiente -0.0157 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,-0.0,,-0.0,-0.0,1,175.0,175.0,,175.0,175.0,1,175.0,175.0,,175.0,175.0
aceleração insuficiente -0.0158 | sem continuidade -0.25 | hard-gate DNA incompleto,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,0.0,0.0,,False,False,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,1.0,1.0,,True,True,1,650.0,650.0,,650.0,650.0,1,650.0,650.0,,650.0,650.0,1,650.0,650.0,,650.0,650.0
