motivo;quantidade;percentual
sem rompimento confirmado -4.25 | sem continuidade -0.25 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -2.50 | sem continuidade -1.50 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -1.00 | sem continuidade -0.25 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 12.0 | sem continuidade 0.00 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -2.50 | sem continuidade -0.00 | hard-gate DNA incompleto;3;0,03
vel15 insuficiente 0.0000 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 17.0 | sem continuidade -0.00 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -20.0 | saldo30 insuficiente -19.0 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -1.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;3;0,03
delta30 insuficiente 10.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -6.0 | saldo30 insuficiente -6.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -12.0 | saldo30 insuficiente -13.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -5.0 | saldo30 insuficiente -4.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -3.0 | saldo30 insuficiente -3.0 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -1.75 | sem continuidade 0.00 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -2.00 | sem continuidade 0.00 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 18.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -11.0 | saldo30 insuficiente -12.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -5.0 | saldo30 insuficiente -5.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 18.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -3.25 | sem continuidade -2.25 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -3.25 | sem continuidade 0.00 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -2.50 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;3;0,03
delta30 insuficiente 5.0 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -2.00 | sem continuidade -0.50 | hard-gate DNA incompleto;3;0,03
sem rompimento confirmado -3.00 | sem continuidade -0.25 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente -4.0 | saldo30 insuficiente 4.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 1.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 7.0 | hard-gate DNA incompleto;3;0,03
delta30 insuficiente 15.0 | sem continuidade -0.00 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -3.75 | hard-gate DNA incompleto | score 70 < 72;2;0,02
delta30 insuficiente -4.0 | saldo30 insuficiente -3.0 | hard-gate DNA incompleto | score 67 < 72;2;0,02
delta30 insuficiente 3.0 | saldo30 insuficiente 2.0 | sem continuidade -0.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 4.0 | saldo30 insuficiente 6.0 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -5.25 | sem continuidade -1.00 | hard-gate DNA incompleto;2;0,02
vel15 insuficiente -0.0000 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 2.0 | saldo30 insuficiente 3.0 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 67 < 72;2;0,02
delta30 insuficiente -15.0 | saldo30 insuficiente -16.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -42.0 | saldo30 insuficiente -42.0 | hard-gate DNA incompleto;2;0,02
vel15 insuficiente -0.3167 | sem rompimento confirmado -6.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 15.0 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto | score 63 < 72;2;0,02
delta30 insuficiente 15.0 | sem continuidade -0.25 | hard-gate DNA incompleto;2;0,02
sem rompimento confirmado -0.75 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;2;0,02
delta30 insuficiente 10.0 | saldo30 insuficiente 7.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 16.0 | sem continuidade -1.25 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 12.0 | saldo30 insuficiente 8.0 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -4.0 | saldo30 insuficiente -5.0 | hard-gate DNA incompleto | score 65 < 72;2;0,02
delta30 insuficiente 17.0 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente -4.0 | saldo30 insuficiente -3.0 | hard-gate DNA incompleto | score 63 < 72;2;0,02
sem rompimento confirmado -6.00 | sem continuidade -3.00 | hard-gate DNA incompleto;2;0,02
delta30 insuficiente 13.0 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto | score 63 < 72;2;0,02
delta30 insuficiente -23.0 | saldo30 insuficiente -22.0 | hard-gate DNA incompleto;2;0,02
