motivo;quantidade;percentual
delta30 insuficiente -101.0 | saldo30 insuficiente -100.0 | aceleração insuficiente -0.4440 | sem rompimento confirmado -10.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente -3.0 | saldo30 insuficiente -4.0 | aceleração insuficiente -0.0028 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1937 | sem rompimento confirmado -3.75 | sem continuidade -1.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.5195 | sem rompimento confirmado -3.75 | sem continuidade -0.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 11.0 | aceleração insuficiente -1.0241 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.5789 | sem rompimento confirmado -5.00 | sem continuidade -0.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3526 | sem rompimento confirmado -7.25 | sem continuidade -0.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.1334 | sem rompimento confirmado -5.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
vel15 insuficiente -0.0168 | aceleração insuficiente -1.0318 | sem rompimento confirmado -6.25 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -0.4114 | sem rompimento confirmado -1.75 | sem continuidade -2.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 2.0 | saldo30 insuficiente 3.0 | aceleração insuficiente -0.8877 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.5596 | sem rompimento confirmado -1.00 | sem continuidade -0.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0567 | sem rompimento confirmado -2.50 | sem continuidade -1.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
vel15 insuficiente -0.0334 | aceleração insuficiente -0.4573 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1393 | aceleração insuficiente -0.7945 | sem rompimento confirmado -4.50 | sem continuidade -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.0512 | aceleração insuficiente -0.4747 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -70.0 | saldo30 insuficiente -71.0 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -0.0 | saldo30 insuficiente 1.0 | aceleração insuficiente -0.5065 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.0292 | sem rompimento confirmado -1.50 | sem continuidade -2.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -5.0 | saldo30 insuficiente -6.0 | sem rompimento confirmado -11.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente -24.0 | saldo30 insuficiente -24.0 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 16.0 | aceleração insuficiente -0.0421 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -33.0 | saldo30 insuficiente -34.0 | sem rompimento confirmado -6.75 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 0.0 | saldo30 insuficiente 1.0 | sem rompimento confirmado -2.75 | sem continuidade -1.00 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -1.3116 | sem rompimento confirmado -9.75 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -28.0 | saldo30 insuficiente -29.0 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2500 | sem rompimento confirmado -17.00 | sem continuidade -2.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 1.0 | saldo30 insuficiente -0.0 | sem rompimento confirmado -7.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0355 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
vel15 insuficiente -0.0168 | sem rompimento confirmado -3.25 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 14.0 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0520 | sem rompimento confirmado -3.00 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2140 | sem rompimento confirmado -3.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.0442 | sem rompimento confirmado -3.00 | sem continuidade -1.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.8818 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -86.0 | saldo30 insuficiente -87.0 | aceleração insuficiente -0.9037 | sem rompimento confirmado -3.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.2671 | aceleração insuficiente -0.4995 | sem rompimento confirmado -5.75 | sem continuidade -4.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 14.0 | sem rompimento confirmado -5.25 | hard-gate DNA incompleto | score 70 < 72;1;0,01
vel15 insuficiente -0.2011 | aceleração insuficiente -0.0725 | sem rompimento confirmado -6.50 | sem continuidade -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 19.0 | sem rompimento confirmado -4.00 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6923 | sem rompimento confirmado -3.50 | sem continuidade -3.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 19.0 | sem rompimento confirmado -2.50 | sem continuidade 0.00 | hard-gate DNA incompleto | score 69 < 72;1;0,01
sem rompimento confirmado -2.50 | sem continuidade -1.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7084 | sem rompimento confirmado -3.25 | sem continuidade -2.25 | hard-gate DNA incompleto | score 67 < 72;1;0,01
delta30 insuficiente 16.0 | aceleração insuficiente -0.8020 | sem rompimento confirmado -2.50 | sem continuidade -1.25 | hard-gate DNA incompleto | score 63 < 72;1;0,01
delta30 insuficiente 15.0 | sem rompimento confirmado -2.00 | sem continuidade 0.00 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -0.7149 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2016 | aceleração insuficiente -0.8265 | sem rompimento confirmado -7.50 | sem continuidade -1.50 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente -9.0 | saldo30 insuficiente -8.0 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7083 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.2265 | sem rompimento confirmado -10.00 | sem continuidade 0.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -0.6586 | sem rompimento confirmado -6.25 | sem continuidade -2.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.0269 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0500 | aceleração insuficiente -1.3800 | sem rompimento confirmado -6.25 | sem continuidade -3.50 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -1.4793 | sem rompimento confirmado -6.25 | sem continuidade -1.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -79.0 | saldo30 insuficiente -78.0 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente -6.0 | saldo30 insuficiente -5.0 | aceleração insuficiente -0.5809 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 9.0 | saldo30 insuficiente 8.0 | sem rompimento confirmado -1.50 | sem continuidade -0.25 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -0.6334 | sem rompimento confirmado -3.50 | sem continuidade -0.75 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -1.1622 | sem rompimento confirmado -1.75 | sem continuidade -2.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2621 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.7386 | sem rompimento confirmado -4.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0220 | sem rompimento confirmado -4.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0505 | sem rompimento confirmado -5.50 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -1.0446 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 63 < 72;1;0,01
vel15 insuficiente -0.1691 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente -40.0 | saldo30 insuficiente -39.0 | sem rompimento confirmado -6.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 14.0 | aceleração insuficiente -0.5998 | sem rompimento confirmado -2.50 | sem continuidade -2.25 | hard-gate DNA incompleto | score 67 < 72;1;0,01
aceleração insuficiente -0.5224 | sem rompimento confirmado -3.00 | sem continuidade -0.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente 0.0167 | aceleração insuficiente -0.2648 | sem rompimento confirmado -1.75 | sem continuidade -0.50 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.1702 | aceleração insuficiente -0.2723 | sem rompimento confirmado -3.50 | sem continuidade -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 3.0 | saldo30 insuficiente 3.0 | aceleração insuficiente -1.1419 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente 0.0000 | aceleração insuficiente -0.6782 | sem rompimento confirmado -6.25 | sem continuidade -1.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.2564 | sem rompimento confirmado -7.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente 6.0 | saldo30 insuficiente 7.0 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 6.0 | saldo30 insuficiente 5.0 | hard-gate DNA incompleto | score 68 < 72;1;0,01
vel15 insuficiente -0.0345 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto | score 70 < 72;1;0,01
delta30 insuficiente 10.0 | sem rompimento confirmado -6.25 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 16.0 | aceleração insuficiente -0.1886 | sem rompimento confirmado 0.00 | sem continuidade -0.00 | hard-gate DNA incompleto | score 67 < 72;1;0,01
delta30 insuficiente 11.0 | aceleração insuficiente -0.6345 | sem rompimento confirmado -0.25 | hard-gate DNA incompleto | score 64 < 72;1;0,01
vel15 insuficiente -0.1333 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -0.0573 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -28.0 | saldo30 insuficiente -28.0 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 13.0 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.1517 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.3595 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6667 | sem rompimento confirmado -3.00 | sem continuidade -1.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3440 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6526 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6696 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.0796 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.5305 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1846 | sem rompimento confirmado -4.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1501 | sem rompimento confirmado -2.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.4287 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0174 | sem rompimento confirmado -2.00 | sem continuidade -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.2064 | sem rompimento confirmado -1.75 | sem continuidade -0.25 | hard-gate DNA incompleto | score 63 < 72;1;0,01
aceleração insuficiente -0.5895 | sem rompimento confirmado -3.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -27.0 | saldo30 insuficiente -26.0 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0356 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto | score 70 < 72;1;0,01
sem rompimento confirmado -5.75 | sem continuidade -0.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.4071 | sem rompimento confirmado -6.75 | sem continuidade -1.00 | hard-gate DNA incompleto | score 67 < 72;1;0,01
vel15 insuficiente -0.0167 | sem rompimento confirmado -2.25 | sem continuidade -0.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2297 | sem rompimento confirmado -4.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.3038 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto | score 65 < 72;1;0,01
delta30 insuficiente 11.0 | aceleração insuficiente -0.9077 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto | score 68 < 72;1;0,01
aceleração insuficiente -2.2015 | sem rompimento confirmado -6.00 | sem continuidade -2.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3878 | sem rompimento confirmado -6.25 | sem continuidade -0.25 | hard-gate DNA incompleto | score 67 < 72;1;0,01
vel15 insuficiente -0.1843 | aceleração insuficiente -0.2483 | sem rompimento confirmado -8.25 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 18.0 | aceleração insuficiente -0.0377 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto | score 64 < 72;1;0,01
vel15 insuficiente 0.0170 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3699 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2554 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto | score 65 < 72;1;0,01
vel15 insuficiente 0.0000 | sem rompimento confirmado -20.25 | sem continuidade -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.1174 | sem rompimento confirmado -4.50 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -1.1113 | aceleração insuficiente -3.0473 | sem rompimento confirmado -23.25 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -0.2065 | sem rompimento confirmado -7.00 | hard-gate DNA incompleto | score 68 < 72;1;0,01
aceleração insuficiente -0.9467 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.0377 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.0604 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1000 | sem rompimento confirmado -4.75 | hard-gate DNA incompleto | score 69 < 72;1;0,01
aceleração insuficiente -0.7012 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.5121 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -3.0 | saldo30 insuficiente -2.0 | sem rompimento confirmado -10.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 62 < 72;1;0,01
delta30 insuficiente -19.0 | saldo30 insuficiente -18.0 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.0051 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.1302 | sem rompimento confirmado -1.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0835 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto | score 71 < 72;1;0,01
delta30 insuficiente -42.0 | saldo30 insuficiente -43.0 | hard-gate DNA incompleto | lados próximos: diferença 1 | score 63 < 72;1;0,01
aceleração insuficiente -0.6541 | sem rompimento confirmado -5.75 | sem continuidade -2.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0167 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1509 | sem rompimento confirmado -4.50 | sem continuidade -0.50 | hard-gate DNA incompleto | score 66 < 72;1;0,01
delta30 insuficiente 10.0 | vel15 insuficiente -0.0840 | sem rompimento confirmado -3.50 | hard-gate DNA incompleto | score 63 < 72;1;0,01
aceleração insuficiente -0.0300 | sem rompimento confirmado -3.50 | sem continuidade 0.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -46.0 | saldo30 insuficiente -45.0 | sem rompimento confirmado -1.50 | sem continuidade -0.25 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -0.9990 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.2473 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.7254 | sem rompimento confirmado -4.75 | sem continuidade -1.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
sem rompimento confirmado -3.25 | sem continuidade -0.00 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 17.0 | sem rompimento confirmado -10.00 | hard-gate DNA incompleto | score 70 < 72;1;0,01
aceleração insuficiente -1.3642 | sem rompimento confirmado -11.25 | sem continuidade -2.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0441 | sem rompimento confirmado 0.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -2.0281 | sem rompimento confirmado -4.75 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.0798 | sem rompimento confirmado -3.25 | sem continuidade -1.75 | hard-gate DNA incompleto | score 65 < 72;1;0,01
aceleração insuficiente -0.3064 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1524 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.3238 | sem rompimento confirmado -5.00 | sem continuidade -2.75 | hard-gate DNA incompleto | score 66 < 72;1;0,01
vel15 insuficiente -0.0167 | sem rompimento confirmado -6.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.2882 | sem rompimento confirmado -2.50 | sem continuidade -0.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO;1;0,01
vel15 insuficiente -0.0337 | aceleração insuficiente -0.2337 | sem rompimento confirmado -4.00 | hard-gate DNA incompleto | PULLBACK_SEM_ROMPIMENTO_DO_EXTREMO | score 64 < 72;1;0,01
delta30 insuficiente -8.0 | saldo30 insuficiente -9.0 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.7625 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -2.2188 | sem rompimento confirmado -6.25 | sem continuidade -4.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.9059 | sem rompimento confirmado -6.50 | sem continuidade -0.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.0988 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 9.0 | saldo30 insuficiente 9.0 | sem rompimento confirmado -1.50 | sem continuidade -1.50 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -0.5665 | sem rompimento confirmado -4.50 | sem continuidade -0.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.9619 | sem rompimento confirmado -4.00 | sem continuidade -1.75 | hard-gate DNA incompleto | score 67 < 72;1;0,01
aceleração insuficiente -0.1178 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.4559 | sem rompimento confirmado -0.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 18.0 | aceleração insuficiente -0.5649 | sem rompimento confirmado -3.75 | sem continuidade -2.75 | hard-gate DNA incompleto | score 67 < 72;1;0,01
aceleração insuficiente -1.1253 | sem rompimento confirmado -5.25 | sem continuidade -3.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.6174 | sem rompimento confirmado -11.50 | hard-gate DNA incompleto | score 64 < 72;1;0,01
vel15 insuficiente -0.0169 | aceleração insuficiente -0.3646 | sem rompimento confirmado -4.25 | sem continuidade -0.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 19.0 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 63 < 72;1;0,01
vel15 insuficiente -0.1262 | aceleração insuficiente -0.3925 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.4876 | sem rompimento confirmado -4.50 | sem continuidade -0.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente -70.0 | saldo30 insuficiente -71.0 | aceleração insuficiente -0.1050 | hard-gate DNA incompleto | score 68 < 72;1;0,01
delta30 insuficiente -6.0 | saldo30 insuficiente -7.0 | sem rompimento confirmado -3.25 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -8.0 | saldo30 insuficiente -7.0 | aceleração insuficiente -0.2779 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.5787 | sem rompimento confirmado -3.50 | sem continuidade -1.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.1586 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.2076 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.2501 | aceleração insuficiente -0.7940 | sem rompimento confirmado -5.75 | sem continuidade -1.50 | hard-gate DNA incompleto | score 66 < 72;1;0,01
aceleração insuficiente -0.4127 | sem rompimento confirmado -3.50 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.0021 | sem rompimento confirmado -7.50 | sem continuidade -0.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
aceleração insuficiente -0.0324 | sem rompimento confirmado -4.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.0340 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.1029 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.2174 | sem rompimento confirmado -8.00 | sem continuidade -0.25 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente 0.0167 | sem rompimento confirmado -6.50 | sem continuidade -1.75 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente -9.0 | saldo30 insuficiente -10.0 | sem rompimento confirmado -4.00 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -6.25 | hard-gate DNA incompleto | score 70 < 72;1;0,01
vel15 insuficiente -0.2839 | aceleração insuficiente -0.1393 | sem rompimento confirmado -5.50 | sem continuidade -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.1513 | aceleração insuficiente -0.1998 | sem rompimento confirmado -5.25 | sem continuidade -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 16.0 | sem rompimento confirmado -5.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0000 | aceleração insuficiente -0.2633 | sem rompimento confirmado -6.25 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -1.1039 | sem rompimento confirmado -4.50 | sem continuidade -2.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1709 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0335 | aceleração insuficiente -0.0571 | sem rompimento confirmado -2.75 | hard-gate DNA incompleto | score 64 < 72;1;0,01
delta30 insuficiente 1.0 | saldo30 insuficiente 2.0 | sem rompimento confirmado -1.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.5529 | sem rompimento confirmado -6.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.4854 | sem rompimento confirmado -2.25 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.1102 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.8638 | sem rompimento confirmado -3.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.1500 | sem rompimento confirmado -7.25 | sem continuidade -3.25 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 15.0 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.0167 | sem rompimento confirmado -3.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.4798 | sem rompimento confirmado -0.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.3607 | sem rompimento confirmado -4.50 | sem continuidade -0.00 | hard-gate DNA incompleto;1;0,01
sem rompimento confirmado -2.00 | sem continuidade -0.00 | hard-gate DNA incompleto | score 64 < 72;1;0,01
aceleração insuficiente -0.5682 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.6296 | sem rompimento confirmado -2.00 | sem continuidade -0.50 | hard-gate DNA incompleto | MESMA_CAMPANHA_SEM_PULLBACK;1;0,01
delta30 insuficiente -24.0 | saldo30 insuficiente -25.0 | aceleração insuficiente -0.9344 | sem rompimento confirmado -1.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
sem rompimento confirmado -6.00 | sem continuidade -1.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -1.2302 | sem rompimento confirmado -7.75 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -2.1187 | sem rompimento confirmado -10.00 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente -0.8834 | sem rompimento confirmado -14.75 | hard-gate DNA incompleto | score 65 < 72;1;0,01
vel15 insuficiente -0.2685 | sem rompimento confirmado -8.75 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -1.1045 | sem rompimento confirmado -3.25 | sem continuidade -0.75 | hard-gate DNA incompleto | score 62 < 72;1;0,01
delta30 insuficiente 16.0 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.1595 | sem rompimento confirmado -1.50 | sem continuidade -0.00 | hard-gate DNA incompleto | score 62 < 72;1;0,01
vel15 insuficiente -0.3012 | sem rompimento confirmado -6.50 | hard-gate DNA incompleto;1;0,01
delta30 insuficiente 12.0 | vel15 insuficiente -0.2500 | sem rompimento confirmado -10.75 | hard-gate DNA incompleto | score 67 < 72;1;0,01
aceleração insuficiente -0.3345 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.0260 | sem rompimento confirmado -3.00 | hard-gate DNA incompleto;1;0,01
aceleração insuficiente -0.3740 | sem rompimento confirmado -1.25 | hard-gate DNA incompleto;1;0,01
vel15 insuficiente 0.0000 | sem rompimento confirmado -2.00 | hard-gate DNA incompleto | score 71 < 72;1;0,01
aceleração insuficiente -0.6697 | sem rompimento confirmado -5.00 | sem continuidade -0.75 | hard-gate DNA incompleto;1;0,01
