reconstructed_dna_id,rank_reconstruction,source_type,source_candidate_id,source_interaction_id,component_count,components_present_in_candidates,gene_ids,gene_signature,families,distinct_families,historias,gain,stop,taxa_gain_pct,taxa_gain_base_pct,lift_gain,fisher_p,bootstrap_ic_inferior_pct,interaction_score_0_100,component_score_mean_0_100,coherence_score_0_100,parsimony_score_0_100,reconstruction_score_0_100,evidence_band,scientific_status,operational_status
RDNA_B69A88880C0F,1798,TRIPLET,CTRIP_9036977F45CB,TRIP_1F7B9FFA7664,3,1,GENE_8FC3D8F1510A|GENE_9F81AAC8272C|GENE_F206ABCF3D62,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_9F81AAC8272C + GENE_F206ABCF3D62,NUM|DESCONHECIDA|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B6A63D95C240,1799,TRIPLET,CTRIP_94A8E47F9E5D,TRIP_21B017BD7355,3,1,GENE_3B3714C087ED|GENE_8FC3D8F1510A|GENE_B81B8E3617B1,GENE_3B3714C087ED + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_B81B8E3617B1,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B6CBEA449035,1800,TRIPLET,CTRIP_AD7C6FBD3DB7,TRIP_1562FF635D19,3,1,GENE_1BD5018BF085|GENE_61447D78C854|GENE_8FC3D8F1510A,GENE_1BD5018BF085 + GENE_61447D78C854 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,DESCONHECIDA|DESCONHECIDA|NUM,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B6D78B3143F1,1801,TRIPLET,CTRIP_AA59E9C1054B,TRIP_61D913867542,3,1,GENE_035C4B2B0FFF|GENE_8FC3D8F1510A|GENE_D849FDF0A923,GENE_035C4B2B0FFF + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_D849FDF0A923,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B830E5CB0B3A,1802,TRIPLET,CTRIP_91C57ABEFA66,TRIP_943C76181323,3,1,GENE_7F3DEF113C57|GENE_8DF207020BCE|GENE_8FC3D8F1510A,GENE_7F3DEF113C57 + GENE_8DF207020BCE + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,DESCONHECIDA|DESCONHECIDA|NUM,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_B976BD17E6B9,1803,TRIPLET,CTRIP_66F3BD896A7A,TRIP_893B48BA494E,3,1,GENE_2224BF0E6480|GENE_8FC3D8F1510A|GENE_9F81AAC8272C,GENE_2224BF0E6480 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_9F81AAC8272C,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BA1225DBFE34,1804,TRIPLET,CTRIP_177CF4D7E1CF,TRIP_3840AE399084,3,1,GENE_8FC3D8F1510A|GENE_A46719CEF957|GENE_E723E2D3D808,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_A46719CEF957 + GENE_E723E2D3D808,NUM|DESCONHECIDA|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BA27814278B9,1805,TRIPLET,CTRIP_3D9743E9DCE0,TRIP_8BD4657539E4,3,1,GENE_8FC3D8F1510A|GENE_BAEE17666C06|GENE_C8659A968DF1,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_BAEE17666C06 + GENE_C8659A968DF1,NUM|DESCONHECIDA|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BADBAAE7B11B,1806,TRIPLET,CTRIP_6B63FE3D7B70,TRIP_06CA97B8C9C0,3,1,GENE_2224BF0E6480|GENE_276A34905D7D|GENE_8FC3D8F1510A,GENE_2224BF0E6480 + GENE_276A34905D7D + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO,DESCONHECIDA|DESCONHECIDA|NUM,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BB2AD09DCD18,1807,TRIPLET,CTRIP_F34182657533,TRIP_1B988F17D8B8,3,1,GENE_1B37942BEB41|GENE_8FC3D8F1510A|GENE_A0AD854DCA9C,GENE_1B37942BEB41 + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_A0AD854DCA9C,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BB7E5F0BCEB9,1808,TRIPLET,CTRIP_8B0CFA9627AB,TRIP_680D019FA696,3,1,GENE_8FC3D8F1510A|GENE_9A65B167E88D|GENE_B81B8E3617B1,NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_9A65B167E88D + GENE_B81B8E3617B1,NUM|DESCONHECIDA|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BBCDFA567160,1809,TRIPLET,CTRIP_FA9D486AAB51,TRIP_69DA6936C97F,3,1,GENE_6C2EEC3CDEEE|GENE_8FC3D8F1510A|GENE_F788D1793F39,GENE_6C2EEC3CDEEE + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_F788D1793F39,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
RDNA_BC125D20E679,1810,TRIPLET,CTRIP_F1A27F452014,TRIP_92EE4681D55B,3,1,GENE_3EBC37E5543F|GENE_8FC3D8F1510A|GENE_DC7ACBC144F9,GENE_3EBC37E5543F + NUM::CV_TAXA_ALVO_DIARIA::POSITIVO + GENE_DC7ACBC144F9,DESCONHECIDA|NUM|DESCONHECIDA,2,808,261,547,32.301980198,31.884057971,1.01310756076,0.143493013898,29.3316831683,65.6947115385,25.92478482,50,80,54.8285519743,EVIDENCIA_BAIXA,DNA_RECONSTRUIDO_CANDIDATO,NAO_OPERACIONAL
